	Patient01	Patient02	Patient03	Patient04
ENSG00000121410	9.110264887502169	1.5708509244066229	1.4234390147952698	0.6273896915215106
ENSG00000148584	0.0315234079152324	0.0	0.0	0.0
ENSG00000166535	115.5332900093268	1.1450393982007274	1.6719295431452297	1400.5010953937506
ENSG00000175899	417.4272934000829	910.0189882455924	373.1088418042538	64.55735360807756
ENSG00000128274	58.6335387223323	49.12934667904996	26.500083258851888	30.32383509020634
ENSG00000118017	0.0945702237456972	0.0	0.0	0.0
ENSG00000081760	72.47231479711932	55.78488818109169	94.58941390344135	55.71220460711014
ENSG00000188984	0.0	0.0	0.0	0.0
ENSG00000204518	0.0	0.0	0.0	0.0
ENSG00000114771	0.3152340791523242	0.0	0.0208991192893153	1.756691136260229
ENSG00000109576	2.805583304455685	1.1092569170069548	0.6896709365474072	0.1463909280216858
ENSG00000103591	66.54591410905563	37.50004029107382	29.676749390827823	46.4059241828744
ENSG00000115977	53.96807435087789	49.02199923546864	20.230347472057275	42.32789118798458
ENSG00000127837	152.06891978308118	75.96620757437951	95.59257162932848	121.2326013916732
ENSG00000129673	0.0945702237456972	0.0	0.0208991192893153	0.0418259794347673
ENSG00000124608	27.550828049754827	14.670459464634884	9.404603680191917	20.306303885682382
ENSG00000266967	50.973350598930814	51.24051306948255	18.307628497440263	16.06117610295067
ENSG00000149313	26.54270946462569	43.69040953759651	40.565190540561126	36.86960087174744
ENSG00000157426	10.938622546585648	8.874055336055639	10.7421473147081	8.699803722431612
ENSG00000008311	7.5340944917405475	12.2018260870765	5.893551639586934	20.30651301557956
ENSG00000181409	2.931676936116615	3.8645079689274553	8.965722175116293	0.6901286606736615
ENSG00000183044	4.791558003115327	8.659360448893	16.259514807087356	8.762542691583763
ENSG00000154263	0.7250383820503455	1.5386466913322276	0.3343859086290459	0.2718688663259879
ENSG00000251595	2.8405742872415933	2.6983569068224016	3.0688266764430687	0.793438829877537
ENSG00000144452	21.751151461510368	0.0357824811937727	0.2925876700504151	168.07769835861268
ENSG00000179869	1.0402724612026697	0.7514321050692274	0.8150656522832993	55.92133450428397
ENSG00000293423	0.3152340791523242	0.2504773683564091	0.1880920736038383	0.0
ENSG00000165029	31.96473562604567	34.703639385780484	6.562323456845026	30.428190908896088
ENSG00000107331	44.9208562792062	51.312078031870094	49.28012328420565	15.266482493690088
ENSG00000167972	5.98944750389416	58.14653193988069	46.96032104309163	1.861256084847148
ENSG00000198691	24.80892202928791	0.6083021802941364	0.1253947157358922	0.062738969152151
ENSG00000154265	13.744205851041334	33.09879510423978	10.574954360393576	24.510023948773675
ENSG00000154262	2.86863012028615	11.52195894439482	1.6092321852772833	0.4391727840650573
ENSG00000064687	52.23428691554012	14.169862552734	19.749667728403026	49.66835057878625
ENSG00000141338	3.467574870675566	69.274883591144	6.875810246184756	0.8783455681301147
ENSG00000154258	1.2609363166092968	11.27148157603841	4.138025619284443	0.2718688663259879
ENSG00000135776	15.25732943097249	16.173681499585275	9.321007203034656	15.350134452559624
ENSG00000085563	1.3239831324397615	4.937982404740637	2.152609286799483	2.007647012868834
ENSG00000005471	1.0402724612026697	5.5462845850347735	0.4806797436542534	0.4182597943476736
ENSG00000004846	0.0	0.3936072931315	0.0208991192893153	0.0418259794347673
ENSG00000115657	56.01425875865564	29.942064613325147	12.33068937188896	120.83337241796836
ENSG00000131269	14.8790485359897	30.772933826644547	13.89791432739472	12.798749707038816
ENSG00000197150	68.59493562354574	23.330177738339824	13.647124895922936	31.43222354522768
ENSG00000150967	12.65727874612412	3.0239774856857338	6.611436387174917	2.5231522094023413
ENSG00000124574	47.31663528076386	10.34113706500032	13.89791432739472	15.684742288037762
ENSG00000121270	0.0945702237456972	0.1073474435813182	0.0626973578679461	0.2091298971738368
ENSG00000140798	0.0	0.0	0.0	0.0
ENSG00000291052	0.0315234079152324	0.0	0.0	0.0
ENSG00000023839	0.2521872633218593	1.2523868417820456	0.1880920736038383	11.669448262300095
ENSG00000108846	22.44466643564548	7.0849312763670005	3.11396877410799	30.61661694624972
ENSG00000125257	7.723234939231942	7.049148795173228	4.681402720806642	9.348106403670506
ENSG00000114770	48.19929070239037	30.057284202769093	10.7421473147081	48.91548294896043
ENSG00000291057	0.2206638554066269	0.0715649623875454	0.4806797436542534	0.0
ENSG00000273808	0.4413277108132538	0.2504773683564091	5.391972776643366	0.0
ENSG00000006071	0.1576170395761621	1.073474435813182	0.0208991192893153	0.0
ENSG00000069431	4.94917504269149	83.05113885074651	1.8809207360383835	0.5646507223693594
ENSG00000101986	24.020836831407102	25.54869157235373	9.759888708110278	8.532499804692542
ENSG00000173208	0.2206638554066269	5.796761953391182	5.287477180196788	0.4809987634998247
ENSG00000117528	30.829892941097302	47.05396276981114	37.09593673853478	69.30564792340954
ENSG00000119688	58.12916419568858	18.42797781479296	15.360852677646797	12.443228881843291
ENSG00000164163	64.90669689746355	46.15940073996683	35.65389750757202	61.14958193362988
ENSG00000033050	96.8714325235092	71.09979013202643	23.448811842611843	62.67623018299891
ENSG00000161204	79.21832409097907	74.24864847707842	59.64608645170606	51.885127488828914
ENSG00000160179	37.54437882704181	36.14030600571046	36.11367813193696	30.804833853706167
ENSG00000118777	0.756561789965578	3.2562057886333187	16.15501921064078	0.79469360926058
ENSG00000172350	0.4098043028980214	0.2146948871626364	0.0	4.078032994889818
ENSG00000138075	0.0	0.0357824811937727	0.0	0.0
ENSG00000143921	0.0	0.0	0.0	0.0
ENSG00000144827	21.08915989529049	34.85213668273464	51.2655396166906	9.473584341974808
ENSG00000106077	28.93848846618336	16.45994134913546	24.95354843144255	11.46031836512626
ENSG00000131969	0.1260936316609296	0.0	0.0626973578679461	0.0418259794347673
ENSG00000100997	90.59827434837796	32.74097029230205	35.737493984729284	51.48778068419863
ENSG00000139826	21.53048760610374	19.00049751389332	13.751620492369511	16.68856579447218
ENSG00000248487	10.812528914924718	20.539144205225547	18.484017064242085	2.4677327866512746
ENSG00000114779	31.334267467741025	53.1369845727525	119.02048435265102	29.46640251179361
ENSG00000168792	17.33787435337783	6.906018870398137	9.906182543135486	7.528676298258127
ENSG00000143994	0.1576170395761621	1.8249065408824092	6.625020814712972	0.0209129897173836
ENSG00000140526	91.03960205919122	108.5282654607127	80.18992071310306	314.40588741114635
ENSG00000158201	26.006811530066745	6.870236389204365	14.336795832470342	19.76277528292758
ENSG00000100439	48.010150254898974	25.083519316834685	20.502036022818377	125.89619809864978
ENSG00000011198	16.644359379242715	35.567786306610095	34.06556444158405	64.7257031753025
ENSG00000163686	5.800307056402764	8.22997067456773	3.69914411420882	18.361604971862874
ENSG00000127220	12.451746126516804	12.881693229758184	19.33168534261672	4.53811876867226
ENSG00000136754	67.54205379917697	44.69231901102214	58.9275747305394	109.0093771616568
ENSG00000138443	42.2098431984962	34.49431187079691	26.291092065958736	13.028792593930037
ENSG00000154175	7.943898794638569	122.84125793822176	13.020151317243474	0.6064767018041268
ENSG00000108798	23.674079344339543	5.116894810709501	3.343859086290459	11.732187231452246
ENSG00000097007	101.44232667121793	99.26060283152556	100.77555321307872	59.89480255058688
ENSG00000143322	33.09957831099404	22.36405074610796	16.11322097206215	12.192273005234687
ENSG00000099204	104.56314405482593	372.6029766707555	434.1792032355268	574.0824807318995
