ENSEMBL_ID,B,CD4T,CD8Tex,CD8T,DC,Fibroblasts,Monocytes,Neutrophil,NK,Treg,PRAD,STAD,KICH,SKCM,DLBC,THCA,ESCA,PAAD,LUAD,UVM,COADREAD,KIRC,OV,GBM,CESC,CHOL,LIHC,BRCA,MB,HNSC,MDSC,stem
ENSG00000176022,1.0,1.0,1.0,14.8523980784614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0204385083638,1.0,1.0,11.5350786952949,1.0,1.0,1.0,1.0,38.2410739855126,52.090308371481,1.0,62.6966124738917,23.7717560555217,1.0,1.0,1.0,21.6807170168986,1.0,1.0,10.9609707056748,58.3572792535578
ENSG00000131584,1.0,1.0,1.0,34.1786040338421,1.0,1.0,56.9449008686365,56.1844938113431,54.7143265006197,54.6588089433367,1.0,24.9612989835584,1.0,65.8048151946907,13.0246763402274,1.0,1.0,1.0,13.4952060956424,31.0369508464121,56.7466461433114,1.0,29.6843831162394,23.7309415233899,1.0,1.0,66.5828170755799,39.4162521316222,71.1848965588051,1.0,13.1219428352631,51.1447970574652
ENSG00000169972,1.0,154.495708494211,1.0,59.1121068599405,70.5362043711513,39.4639056595761,1.0,60.2822545572404,1.0,1.0,47.1797962730533,15.1345179600162,1.0,39.9643453461183,88.3094939260976,39.0509616622412,32.5207642159798,40.7225170614864,56.8159857684828,41.2662108817232,60.4844853801783,1.0,34.7053871029971,41.7992917147702,47.9517897939187,43.0439942416528,73.022890198168,28.8163898428676,73.2754406200079,39.6860979906848,14.6416943592064,31.5963658301438
ENSG00000162576,1.0,1.0,1.0,17.8640637443907,1.0,16.7180223087259,1.0,14.0517230751135,1.0,1.0,1.0,13.5914612976162,1.0,1.0,11.9054651367376,21.5906216992873,1.0,1.0,1.0,45.5222063074176,59.6215199604084,1.0,79.9011621160822,1.0,1.0,1.0,11.8200374165201,1.0,51.7469611434503,1.0,15.8759323823766,27.4462129915275
ENSG00000160072,1.0,1.0,1.0,30.0014091362034,1.0,1.0,1.0,32.4417131320829,1.0,1.0,1.0,21.9883347579251,1.0,38.3103167025346,1.0,47.2711414428301,1.0,1.0,38.569293398439,34.99877866241,1.0,1.0,142.984279042774,48.7908722474308,1.0,1.0,57.9737360596861,33.5937341942652,1.0,35.2067522348553,17.7038792291858,28.2883939173415
ENSG00000067606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.9256914966218,1.0,1.0,1.0,46.7174695494227,1.0,1.0,9.13590387717153,36.5749838104441
ENSG00000157881,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0123044829003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000069424,1.0,63.6014031319373,66.8807644847815,57.1649384663498,55.0957154299371,1.0,101.942638813525,47.7220242576324,107.216471601996,134.073597135629,1.0,34.324344901587,1.0,31.543544182438,1.0,1.0,1.0,1.0,1.0,123.541548340234,1.0,1.0,18.3434779845968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0119397474239,37.7422691647132
ENSG00000158286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.5133281121568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.2418185267132,1.0,1.0,1.0,1.0,1.0,1.0,11.2939959884539,1.0
ENSG00000215788,1.0,23.1969583859312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.5984224678895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.7396128115772,10.1112068522832,1.0
ENSG00000204859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.4258260614928,90.5514499013647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29.1224672122099,1.0,1.0,1.0,1.0,1.0,30.7022833345089,1.0,43.7810951910229
ENSG00000116273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.1298238758857,1.0,1.0
ENSG00000041988,77.7647834190479,1.0,1.0,21.4578265712146,1.0,1.0,65.847679524108,77.0073913580351,73.4712670060178,80.1009186085485,1.0,51.4649332004879,1.0,36.1984817781973,1.0,43.2319146184492,1.0,1.0,1.0,58.909982828023,66.2817490595406,1.0,34.9471713675895,30.1211295709558,45.0161816953196,1.0,59.751599129591,35.1127735030199,50.8787601530387,29.0428732770462,15.537992629185,37.2144248829771
