Hugo	Patient-01	Patient-02
ACTR2	6784.0	19953.0
ACTR3B	390.0	228.0
ACTR3C	92.0	202.0
ACTR3	8096.0	34590.0
ACTR5	383.0	858.0
ACTR6	489.0	2447.0
ACTR8	565.0	1120.0
ACTRT1	0.0	0.0
ACTRT2	0.0	0.0
ACVR1B	1129.0	778.0
ACVR1C	216.0	666.0
ACVR1	1633.0	3451.0
ACVR2A	359.0	759.0
ACVR2B	224.0	133.0
ACVRL1	1036.0	984.0
ACY1	958.0	2863.57
ACY3	79.0	17.0
ACYP1	214.0	453.0
ACYP2	475.0	387.0
ADAD1	0.0	0.0
ADAD2	15.16	42.75
ADAL	186.0	767.0
ADAM10	843.0	4847.0
ADAM11	33.0	12.0
ADAM12	4667.0	6976.0
ADAM15	5131.15	3734.03
ADAM17	783.0	4479.0
ADAM18	0.0	0.0
ADAM19	2108.0	2301.0
ADAM20	2.0	12.0
ADAM21P1	0.0	1.0
ADAM21	5.0	8.0
ADAM22	15.0	58.0
ADAM23	210.0	297.0
ADAM28	133.0	657.0
ADAM29	0.0	14.0
ADAM2	0.0	0.0
ADAM30	0.0	0.0
ADAM32	11.0	19.0
ADAM33	179.0	122.0
ADAM3A	0.0	0.0
ADAM5P	0.0	0.0
ADAM6	136583.87	9421.11
ADAM7	0.0	0.0
ADAM8	913.0	1093.0
ADAM9	1782.0	9442.0
ADAMDEC1	404.0	45.0
ADAMTS10	504.0	109.0
ADAMTS12	113.0	833.0
ADAMTS13	237.0	10.0
ADAMTS14	1076.0	1185.0
ADAMTS15	245.0	20.0
ADAMTS16	325.0	27.0
ADAMTS17	71.0	181.0
ADAMTS18	8.0	0.0
ADAMTS19	1.0	0.0
ADAMTS1	1721.0	609.0
ADAMTS20	50.0	5.0
ADAMTS2	1642.0	1398.0
ADAMTS3	144.0	190.0
ADAMTS4	1478.0	2283.0
ADAMTS5	198.0	763.0
ADAMTS6	202.0	599.0
ADAMTS7	1024.0	253.0
ADAMTS8	71.0	2.0
ADAMTS9	200.0	291.0
ADAMTSL1	55.0	75.0
ADAMTSL2	472.0	91.0
ADAMTSL3	16.0	12.0
ADAMTSL4	2516.0	963.0
ADAMTSL5	493.0	300.0
ADAP1	975.9	1033.63
ADAP2	311.0	305.0
ADARB1	834.0	392.0
ADARB2	5.0	1.0
ADAR	9453.0	9327.0
ADAT1	143.0	849.0
ADAT2	212.0	1105.0
ADAT3	164.0	121.0
ADA	1637.0	14597.0
ADCK1	403.0	238.0
ADCK2	1264.0	1242.0
ADCK4	1786.0	1137.0
ADCK5	679.0	558.0
ADCY10	2.0	6.0
ADCY1	93.0	8.0
ADCY2	221.0	40.0
ADCY3	2089.97	1741.81
ADCY4	360.0	94.0
ADCY5	21.0	5.0
ADCY6	1154.0	454.0
ADCY7	2256.0	1389.0
ADCY8	0.0	0.0
ADCY9	803.0	337.0
ADCYAP1R1	1.0	5.0
ADCYAP1	28.0	37.0
ADC	496.0	314.0
ADD1	7560.0	4715.0
ADD2	590.0	94.0
ADD3	1597.0	8247.0
ADH1A	0.0	4.0
ADH1B	3.0	46.0
ADH1C	2.0	7.0
ADH4	0.0	4.0
ADH5	3405.0	30952.0
ADH6	0.0	1.0
ADH7	8.0	6.0
ADHFE1	134.0	21.0
ADI1	3295.0	9973.0
ADIG	0.0	0.0
ADIPOQ	1.0	0.0
ADIPOR1	4032.0	7080.0
ADIPOR2	3385.0	4299.0
ADK	1028.0	3295.0
ADM2	104.0	170.0
ADM	3211.0	4579.0
ADNP2	488.0	2061.0
ADNP	1555.0	3616.0
ADORA1	346.0	52.0
ADORA2A	164.99	168.0
ADORA2B	638.0	3254.0
ADORA3	118.0	346.0
ADO	765.0	1048.0
ADPGK	1947.43	7072.0
ADPRHL1	207.0	60.0
ADPRHL2	1636.0	1973.0
ADPRH	372.0	368.0
ADRA1A	0.0	1.0
ADRA1B	9.0	9.0
ADRA1D	13.0	9.0
ADRA2A	587.0	27.0
ADRA2B	9.0	14.0
ADRA2C	353.0	35.0
ADRB1	3.0	4.0
ADRB2	348.0	30.0
ADRB3	1.0	1.0
ADRBK1	4272.0	2532.0
ADRBK2	380.0	1201.0
ADRM1	8357.0	6884.0
ADSL	1530.0	25956.0
ADSSL1	782.0	177.0
ADSS	1773.0	5125.0
AEBP1	53612.0	5322.0
AEBP2	1104.0	1907.0
AEN	795.0	2296.0
AES	13750.0	8920.0
AFAP1L1	1060.0	709.0
AFAP1L2	2062.0	2689.0
AFAP1	1700.78	995.64
AFARP1	1.0	7.0
AFF1	1464.0	1403.0
AFF2	63.0	14.0
AFF3	25.0	15.0
AFF4	1877.0	3334.0
AFG3L1	481.0	183.0
AFG3L2	2048.08	1083.56
AFMID	760.0	2388.0
AFM	0.0	17.0
AFP	6.0	118.0
AFTPH	1165.0	2055.0
AG2	896.0	681.0
AGAP11	29.0	29.04
AGAP1	310.0	504.0
AGAP2	347.69	116.48
AGAP3	5695.0	1023.0
AGAP4	343.0	204.0
AGAP5	41.33	21.0
AGAP6	113.0	118.0
AGAP7	11.0	8.0
AGAP8	42.0	11.0
AGA	578.0	2814.0
AGBL1	3.0	2.0
AGBL2	35.0	47.0
AGBL3	3.0	12.0
AGBL4	6.0	0.0
AGBL5	1004.04	1752.01
AGER	240.0	259.0
AGFG1	2880.0	9341.0
AGFG2	576.0	221.0
AGGF1	1104.0	1088.0
AGK	707.0	1161.0
AGL	569.0	4736.0
AGMAT	84.0	743.0
AGPAT1	5188.19	3247.12
AGPAT2	4587.0	3438.0
AGPAT3	3144.0	2254.0
AGPAT4	819.0	814.0
AGPAT5	593.0	4882.0
AGPAT6	2361.0	777.0
AGPAT9	79.0	709.0
AGPHD1	59.0	197.0
AGPS	1159.0	5802.0
AGR2	665.0	15521.0
AGR3	1.0	901.0
AGRN	27020.0	4487.0
AGRP	3.0	0.0
AGTPBP1	344.0	561.0
AGTR1	25.0	55.0
AGTR2	0.0	30.0
AGTRAP	5402.0	4681.0
AGT	200.0	137.0
AGXT2L1	0.0	6.0
AGXT2L2	538.14	329.13
AGXT2	0.0	0.0
AGXT	0.0	17.0
AHCTF1	1149.0	1439.0
AHCYL1	2520.0	5628.0
AHCYL2	426.0	500.0
AHCY	5584.0	24262.0
AHDC1	1740.0	523.0
AHI1	312.0	1361.0
AHNAK2	10647.0	9590.0
AHNAK	27883.0	7011.0
AHRR	319.0	334.0
AHR	4408.0	52412.0
AHSA1	4861.0	7884.0
AHSA2	622.0	296.0
AHSG	0.0	38.0
AHSP	2.0	1.0
AICDA	5.0	5.0
AIDA	2591.0	3481.14
AIF1L	574.0	218.0
AIF1	1023.0	1035.0
AIFM1	1517.0	2067.0
AIFM2	1468.0	498.0
AIFM3	1598.85	108.7
AIG1	2059.0	4834.0
AIM1L	615.0	479.0
AIM1	2992.0	3504.0
AIM2	958.0	3590.0
AIMP1	1835.23	7884.84
AIMP2	1569.58	5597.06
AIPL1	0.0	45.0
AIP	2669.0	2717.0
AIRE	2.0	1.0
AJAP1	239.0	18.0
AK1	2657.0	6114.0
AK2	4006.0	15006.0
AK3L1	420.0	11042.0
AK3	1498.0	7525.0
AK5	45.0	110.0
AK7	20.0	47.0
AKAP10	344.0	1820.0
AKAP11	1019.0	1771.0
AKAP12	1125.0	1010.0
AKAP13	3628.0	1078.0
AKAP14	0.0	0.0
AKAP1	1471.0	1429.0
AKAP2	95.12	168.57
AKAP3	10.0	21.0
AKAP4	0.0	0.0
AKAP5	73.0	118.0
AKAP6	287.0	203.0
AKAP7	146.0	1060.0
AKAP8L	2151.0	791.0
AKAP8	1074.0	1316.0
AKAP9	1006.0	450.0
AKD1	110.0	196.0
AKIRIN1	1637.0	6253.0
AKIRIN2	1704.0	5215.0
AKNAD1	3.0	73.0
AKNA	782.0	245.0
AKR1A1	3461.0	7160.0
AKR1B10	2547.0	1526.0
AKR1B15	82.0	258.0
AKR1B1	3568.0	7597.0
AKR1C1	545.0	23788.0
AKR1C2	301.0	16760.0
AKR1C3	746.0	22994.0
AKR1C4	0.0	31.0
AKR1CL1	1.0	0.0
AKR1D1	2.0	2.0
AKR1E2	126.0	331.0
AKR7A2	1743.0	5271.0
AKR7A3	18.0	443.0
AKR7L	12.0	33.0
AKT1S1	7591.0	2152.0
AKT1	5334.0	6346.0
AKT2	5817.0	4760.0
AKT3	624.0	945.0
AKTIP	604.97	1448.7
ALAD	860.0	927.0
ALAS1	1080.0	2376.0
ALAS2	1.0	4.0
ALB	0.0	4091.0
ALCAM	4150.0	13914.0
ALDH16A1	3134.0	1086.0
ALDH18A1	2733.0	2708.0
ALDH1A1	258.0	139.0
ALDH1A2	10.0	6.0
ALDH1A3	1349.51	1140.15
ALDH1B1	2161.0	3131.0
ALDH1L1	162.0	3.0
ALDH1L2	387.0	1582.0
ALDH2	2546.0	1928.0
ALDH3A1	2629.0	123.0
ALDH3A2	2796.0	3194.0
ALDH3B1	933.0	303.0
ALDH3B2	913.0	309.0
ALDH4A1	2158.0	1221.0
ALDH5A1	399.0	178.0
ALDH6A1	82.39	195.77
ALDH7A1	2596.0	2478.0
ALDH8A1	28.0	28.0
ALDH9A1	1624.0	5276.0
ALDOA	59808.0	102169.0
ALDOB	0.0	18.0
ALDOC	1285.0	7768.0
ALG10B	212.0	912.0
ALG10	146.0	872.0
ALG11	60.0	32.0
ALG12	1012.0	1477.0
ALG13	515.0	1807.0
ALG14	346.0	1922.0
ALG1L2	3.0	1.0
ALG1L	138.08	376.08
ALG1	1121.29	2171.55
ALG2	1291.0	2969.0
ALG3	3271.0	2681.0
ALG5	1474.0	5436.0
ALG6	399.0	1469.0
ALG8	737.0	1240.0
ALG9	882.0	1017.0
ALKBH1	357.0	1478.0
ALKBH2	648.0	1453.0
ALKBH3	700.0	1448.0
ALKBH4	735.67	299.11
ALKBH5	3978.94	4193.7
ALKBH6	810.0	604.0
ALKBH7	1044.0	2166.0
ALKBH8	276.0	227.0
ALK	3.0	2.0
ALLC	0.0	0.0
ALMS1P	1.0	0.0
ALMS1	510.0	631.0
ALOX12B	116.94	34.97
ALOX12P2	171.0	100.0
ALOX12	538.32	35.0
ALOX15B	34.0	1966.0
ALOX15	5.0	12.0
ALOX5AP	466.0	2306.0
ALOX5	597.0	377.0
ALOXE3	101.0	235.0
ALPI	0.0	1.0
ALPK1	609.0	748.0
ALPK2	314.0	563.0
ALPK3	586.0	101.0
ALPL	851.0	369.0
ALPPL2	2.0	26.0
ALPP	136.0	11.0
ALS2CL	2570.0	365.0
ALS2CR11	3.0	122.0
ALS2CR12	13.0	14.0
ALS2CR4	1549.0	5356.0
ALS2CR8	103.0	325.0
ALS2	613.0	1256.0
ALX1	54.0	17.0
ALX3	46.0	15.0
ALX4	2.0	14.0
AMAC1L2	6.0	5.0
AMAC1L3	1.0	1.0
AMAC1	2.0	0.0
AMACR	815.0	4439.0
AMBN	2.0	0.0
AMBP	0.0	125.0
AMBRA1	1220.0	540.0
AMD1	2716.0	25044.0
AMDHD1	18.0	23.0
AMDHD2	483.71	410.78
AMELX	0.0	0.0
AMELY	0.0	0.0
AMFR	2879.0	5338.0
AMHR2	0.0	15.0
AMH	14.0	11.0
AMICA1	535.0	306.0
AMIGO1	68.0	16.0
AMIGO2	1255.0	9139.0
AMIGO3	132.0	69.0
AMMECR1L	1143.0	1632.0
AMMECR1	424.0	2032.0
AMN1	181.0	1002.0
AMN	75.0	81.0
AMOTL1	3004.0	3620.0
AMOTL2	1647.0	1073.0
AMOT	185.0	69.0
AMPD1	59.0	4.0
AMPD2	2024.0	1161.0
AMPD3	857.0	1178.0
AMPH	138.0	234.0
AMTN	2151.0	8.0
AMT	152.0	732.96
AMY1A	8.0	25.0
AMY2A	1.0	23.0
AMY2B	94.0	16.0
AMZ1	60.0	35.0
AMZ2P1	163.0	386.0
AMZ2	1979.0	10007.0
ANAPC10	296.0	1027.0
ANAPC11	3562.0	14049.0
ANAPC13	1576.04	3689.77
ANAPC16	3823.0	8194.0
ANAPC1	449.0	1998.0
ANAPC2	1461.0	994.0
ANAPC4	743.0	1436.0
ANAPC5	4209.0	17464.0
ANAPC7	2239.0	5947.0
ANGEL1	502.0	1132.0
