Hugo	Patient-01	Patient-02
CDK12	1219.0	1533.0
CDK13	1069.0	1777.0
CDK14	1023.0	1487.0
CDK15	5.0	42.0
CDK16	5182.0	4617.0
CDK17	752.0	1938.0
CDK18	2418.0	667.0
CDK19	777.94	716.26
CDK1	1357.0	13633.0
CDK20	231.0	57.0
CDK2AP1	6347.0	14173.0
CDK2AP2	3798.0	4927.0
CDK2	1251.0	3936.0
CDK3	408.11	246.95
CDK4	6207.0	26169.0
CDK5R1	279.0	433.0
CDK5R2	78.0	42.0
CDK5RAP1	969.0	1576.0
CDK5RAP2	1854.0	1271.0
CDK5RAP3	3921.0	1979.0
CDK5	836.0	857.0
CDK6	3396.0	2795.0
CDK7	995.0	2076.0
CDK8	212.0	1164.0
CDK9	3865.0	2815.0
CDKAL1	263.0	1372.0
CDKL1	26.0	124.0
CDKL2	0.0	389.0
CDKL3	39.28	153.44
CDKL4	1.0	2.0
CDKL5	7.0	34.0
CDKN1A	8959.0	22173.0
CDKN1B	1332.0	1845.0
CDKN1C	979.0	575.0
CDKN2AIPNL	794.0	4462.0
CDKN2AIP	341.0	2244.0
CDKN2A	52.0	106.0
CDKN2BAS	45.05	99.0
CDKN2B	1639.0	387.0
CDKN2C	446.0	465.0
CDKN2D	764.0	1033.0
CDKN3	363.0	5007.0
CDNF	30.0	25.0
CDO1	34.0	37.0
CDON	106.0	119.0
CDR1	3.14	15.44
CDR2L	1665.0	711.0
CDR2	725.0	1623.0
CDRT15P	27.0	3.0
CDRT15	0.0	0.0
CDRT1	6.91	6.59
CDRT4	574.0	338.12
CDS1	958.0	1613.0
CDS2	1170.0	3079.0
CDSN	139.0	30.0
CDT1	1103.0	1315.0
CDV3	5554.0	2911.0
CDX1	78.0	437.0
CDX2	99.0	3.0
CDX4	0.0	0.0
CDY1B	0.0	0.0
CDY1	0.0	0.0
CDY2B	0.0	0.0
CDYL2	133.0	38.0
CDYL	521.0	1734.0
CEACAM16	6.0	1.0
CEACAM18	0.0	0.0
CEACAM19	446.0	450.0
CEACAM1	534.0	523.0
CEACAM20	0.0	0.0
CEACAM21	22.0	24.0
CEACAM22P	3.0	2.0
CEACAM3	12.0	36.0
CEACAM4	41.0	39.0
CEACAM5	91.0	398.0
CEACAM6	687.0	716.0
CEACAM7	59.0	11.0
CEACAM8	0.0	0.0
CEBPA	758.0	449.0
CEBPB	4388.0	2345.0
CEBPD	5054.0	1645.0
CEBPE	10.0	247.0
CEBPG	2341.0	3470.0
CEBPZ	1657.0	2710.0
CECR1	1171.0	198.0
CECR2	55.0	21.0
CECR4	5.0	11.0
CECR5	1837.0	7406.0
CECR6	23.0	14.0
CECR7	104.0	142.0
CELA1	0.0	3.0
CELA2A	0.0	1.0
CELA2B	0.0	0.0
CELA3A	0.0	8.0
CELA3B	0.0	0.0
CELF1	1961.0	1572.0
CELF2	459.0	298.0
CELF3	1.0	0.0
CELF4	9.0	0.0
CELF5	13.0	0.0
CELF6	190.93	46.64
CELP	0.0	0.0
CELSR1	3176.0	2787.0
CELSR2	3427.0	956.0
CELSR3	330.23	252.0
CEL	313.0	297.0
CEMP1	473.29	53.22
CEND1	35.0	11.0
CENPA	402.0	3130.0
CENPBD1	773.0	558.0
CENPB	6569.0	1791.0
CENPC1	362.0	625.0
CENPE	539.0	2273.0
CENPF	2082.0	2478.0
CENPH	649.0	918.0
CENPI	73.0	790.0
CENPJ	363.0	257.0
CENPK	231.0	2341.0
CENPL	319.0	3280.0
CENPM	312.0	1433.0
CENPN	1270.2	7745.14
CENPO	241.03	1268.19
CENPP	287.68	719.47
CENPQ	155.0	3100.0
CENPT	1955.0	2605.0
CENPV	128.0	1449.0
CENPW	661.0	6252.0
CEP110	588.0	323.0
CEP120	379.0	768.0
CEP135	156.0	764.0
CEP152	118.0	357.0
CEP164	1544.0	412.0
CEP170L	0.0	7.0
CEP170	745.0	3126.0
CEP192	596.0	738.0
CEP250	1485.0	325.0
CEP290	566.9	446.82
CEP350	872.0	1544.0
CEP55	1272.0	3493.0
CEP57	806.0	4052.0
CEP63	634.96	526.23
CEP68	556.02	492.01
CEP70	385.0	2461.0
CEP72	199.0	356.0
CEP76	162.0	837.0
CEP78	333.0	1039.0
CEP97	104.0	465.0
CEPT1	761.0	2395.0
CER1	2.0	1.0
CERCAM	11904.0	9964.0
CERKL	121.22	196.94
CERK	1347.0	4178.0
CES1	303.0	335.0
CES2	3972.0	1773.0
CES3	75.0	8.0
CES4	2.0	3.0
CES7	13.0	6.0
CES8	238.0	81.0
CETN1	0.0	0.0
CETN2	2995.0	6705.0
CETN3	428.0	967.0
CETN4P	6.0	14.0
CETP	55.0	860.0
CFB	4306.89	1754.0
CFC1B	0.0	0.0
CFDP1	2181.0	2395.0
CFD	706.0	1010.0
CFHR1	4.0	9.0
CFHR2	0.0	5.0
CFHR3	1.0	36.0
CFHR4	1.0	6.0
CFHR5	0.0	2.0
CFH	2619.0	5138.0
CFI	542.0	2240.0
CFL1	62615.0	94091.0
CFL2	725.0	4219.0
CFLAR	1088.0	4035.0
CFLP1	0.0	0.0
CFP	79.0	57.0
CFTR	29.0	27.0
CG030	57.0	14.0
CGA	0.0	17.0
CGB1	6.0	1.0
CGB2	69.0	0.0
CGB5	31.0	5.0
CGB7	423.22	44.28
CGB8	67.0	4.0
CGB	32.0	1.0
CGGBP1	1420.0	4850.05
CGNL1	213.0	68.0
CGN	82.0	306.0
CGREF1	134.38	121.21
CGRRF1	277.0	2588.0
CH25H	195.0	199.0
CHAC1	199.0	540.0
CHAC2	63.0	2320.0
CHADL	50.04	184.0
CHAD	41.0	1.0
CHAF1A	667.0	769.0
CHAF1B	327.0	1610.0
CHAT	0.0	0.0
CHCHD10	1339.0	1368.0
CHCHD1	1407.0	2514.0
CHCHD2	7508.0	57694.0
CHCHD3	1322.0	2659.0
CHCHD4	357.0	943.0
CHCHD5	719.0	2564.0
CHCHD6	372.0	1086.0
CHCHD7	1489.0	2668.0
CHCHD8	1947.0	4100.0
CHD1L	1022.0	2084.0
CHD1	632.0	1021.0
CHD2	1544.0	814.0
CHD3	8245.0	2063.0
CHD4	9117.56	4040.75
CHD5	6.0	5.0
CHD6	551.0	484.0
CHD7	579.0	371.0
CHD8	1900.0	1747.0
CHD9	706.0	2841.0
CHDH	44.0	158.0
CHEK1	557.0	1275.0
CHEK2	555.0	3646.0
CHERP	2181.66	1230.06
CHFR	1359.0	392.0
CHGA	29.0	1240.0
CHGB	10013.0	11.0
CHI3L1	5723.0	276.0
CHI3L2	105.0	65.0
CHIA	0.0	12.0
CHIC1	275.0	630.0
CHIC2	610.0	2592.0
CHID1	3469.0	3828.0
CHIT1	1933.0	46.0
CHKA	529.0	441.0
CHKB-CPT1B	371.17	600.43
CHKB	587.0	1699.19
CHL1	207.0	190.0
CHML	481.0	350.0
CHMP1A	7141.0	5534.0
CHMP1B	2860.0	4493.0
CHMP2A	7217.0	5228.0
CHMP2B	837.0	3788.0
CHMP4A	1986.84	3801.05
CHMP4B	7517.0	6750.0
CHMP4C	1195.0	1867.0
CHMP5	2029.67	10394.61
CHMP6	1693.0	2480.0
CHMP7	1239.0	1612.0
CHM	365.0	2492.0
CHN1	434.0	4116.0
CHN2	55.0	44.0
CHODL	35.0	354.0
CHORDC1	738.0	2007.0
CHP2	211.0	66.0
CHPF2	5494.0	2493.0
CHPF	17037.0	6517.0
CHPT1	429.0	681.0
CHP	3658.0	4792.0
CHRAC1	1790.0	3732.0
CHRDL1	20.0	16.0
CHRDL2	109.0	42.0
CHRD	628.0	196.0
CHRFAM7A	7.0	39.0
CHRM1	2.0	2.0
CHRM2	1.0	0.0
CHRM3	162.0	150.0
CHRM4	24.0	2.0
CHRM5	2.0	4.0
CHRNA10	53.0	15.0
CHRNA1	1485.0	118.0
CHRNA2	1.0	0.0
CHRNA3	16.0	13.0
CHRNA4	3.0	2.0
CHRNA5	243.0	1019.0
CHRNA6	3.0	8.0
CHRNA7	3.0	27.0
CHRNA9	2.0	70.0
CHRNB1	1215.87	1214.47
CHRNB2	6.0	7.0
CHRNB3	0.0	0.0
CHRNB4	62.0	14.0
CHRND	84.0	0.0
CHRNE	44.89	59.53
CHRNG	120.0	7.0
CHST10	567.0	413.0
CHST11	718.0	1345.0
CHST12	1306.0	574.0
CHST13	28.0	3.0
CHST14	1665.0	1224.0
CHST15	2498.0	1360.0
CHST1	427.0	153.0
CHST2	661.0	1174.0
CHST3	1945.0	598.0
CHST4	16.0	14.0
CHST5	34.16	2.01
CHST6	170.0	751.0
CHST7	333.0	606.0
CHST8	31.0	2.0
CHST9	3.0	0.0
CHSY1	2079.0	3051.0
CHSY3	223.0	688.0
CHTF18	783.0	845.0
CHTF8	4016.64	6619.57
CHUK	712.0	2076.0
CHURC1	1332.14	7494.22
CIAO1	2516.0	6028.0
CIAPIN1	2382.0	7879.0
CIB1	6629.0	17838.0
CIB2	594.0	607.0
CIB3	1.0	2.0
CIB4	0.0	6.0
CIC	4498.0	853.0
CIDEA	28.0	0.0
CIDEB	751.22	1060.4
CIDECP	258.0	181.0
CIDEC	2.0	8.0
CIITA	570.0	72.0
CILP2	256.0	53.0
CILP	486.0	24.0
CINP	730.0	2934.0
CIR1	1204.0	1594.0
CIRBP	5227.0	3914.0
CIRH1A	1670.0	11748.0
CISD1	1189.0	2105.0
CISD2	1247.97	10315.0
CISD3	2352.07	2423.95
CISH	469.0	650.0
CITED1	17.0	16.0
CITED2	3414.0	1004.0
CITED4	1952.0	953.0
CIT	897.0	787.0
CIZ1	4031.0	3542.0
CKAP2L	233.0	3858.0
CKAP2	1495.0	5318.0
CKAP4	10280.0	11158.0
CKAP5	3423.0	3345.0
CKB	5176.0	3713.0
CKLF	857.0	5351.0
CKMT1A	1036.0	657.0
CKMT1B	2769.0	3099.0
CKMT2	138.0	14.0
CKM	3420.0	1872.0
CKS1B	2608.0	20951.0
CKS2	1124.0	12089.0
CLASP1	2620.0	1339.0
CLASP2	473.0	2202.0
CLCA1	0.0	10.0
CLCA2	6074.0	68869.0
CLCA3P	7.0	25.0
CLCA4	815.0	33.0
CLCC1	1192.32	1465.69
CLCF1	379.0	276.0
CLCN1	28.0	29.0
CLCN2	157.0	87.0
CLCN3	760.0	1409.0
CLCN4	204.0	45.0
CLCN5	339.0	738.0
CLCN6	344.0	250.0
CLCN7	3918.0	1151.0
CLCNKA	15.0	37.0
CLCNKB	65.0	33.0
CLC	2.0	19.0
CLDN10	1.07	7.01
CLDN11	85.0	47.0
CLDN12	1131.0	3260.96
CLDN14	19.0	326.0
CLDN15	323.0	48.0
CLDN16	22.0	22.0
CLDN17	0.0	0.0
CLDN18	1.0	298.0
CLDN19	1.0	516.0
CLDN1	25693.0	75442.0
CLDN20	0.0	1.0
CLDN22	0.0	0.0
CLDN23	185.0	50.0
CLDN25	0.0	0.0
CLDN2	7.0	24.0
CLDN3	29.0	16.0
CLDN4	3463.0	381.0
CLDN5	1534.0	836.0
CLDN6	32.0	44.0
CLDN7	3209.0	7683.0
CLDN8	125.0	2.0
CLDN9	27.0	10.0
CLDND1	2087.0	20468.0
CLDND2	14.0	3.0
CLEC10A	74.0	113.0
CLEC11A	4442.0	2002.0
CLEC12A	247.0	34.0
CLEC12B	16.0	0.0
CLEC14A	693.0	420.0
CLEC16A	1162.0	409.0
CLEC17A	12.0	702.0
CLEC18A	78.81	84.96
CLEC18B	22.0	20.0
CLEC18C	3.19	12.04
CLEC1A	57.0	257.0
CLEC1B	1.0	1.0
CLEC2A	0.0	4.0
CLEC2B	1641.0	876.0
CLEC2D	1477.0	2912.0
CLEC2L	181.0	22.0
CLEC3A	0.0	0.0
CLEC3B	259.0	139.0
CLEC4A	141.0	814.0
CLEC4C	2.0	0.0
CLEC4D	5.0	47.0
CLEC4E	34.0	137.0
CLEC4F	3.0	6.0
CLEC4GP1	5.0	0.0
CLEC4G	15.0	4.0
CLEC4M	7.0	3.0
CLEC5A	138.0	449.0
CLEC6A	0.0	10.0
CLEC7A	331.0	1585.0
CLEC9A	4.0	11.0
CLECL1	20.0	9.0
CLGN	9.0	110.0
CLIC1	22886.0	67027.0
CLIC2	198.0	415.0
CLIC3	2042.0	196.0
CLIC4	5920.0	25794.0
CLIC5	50.0	29.0
CLIC6	202.0	150.0
CLINT1	1673.0	3147.0
CLIP1	2221.0	1724.0
CLIP2	1957.0	354.0
CLIP3	670.0	266.0
CLIP4	1032.0	1264.0
CLK1	1372.0	2784.0
CLK2P	106.0	90.0
CLK2	1166.0	753.0
CLK3	1816.0	1352.0
CLK4	381.0	540.0
CLLU1OS	1.0	0.0
CLLU1	2.0	0.0
CLMN	260.0	700.0
CLN3	1995.0	938.0
CLN5	666.0	3503.0
CLN6	1900.0	1934.0
CLN8	482.0	1284.0
CLNK	1.0	0.0
CLNS1A	2928.0	5401.0
CLOCK	160.0	873.0
CLP1	616.0	1532.0
CLPB	620.0	481.0
CLPP	1468.0	4131.0
CLPS	6.0	1.0
CLPTM1L	18610.0	17024.0
CLPTM1	8412.0	5089.0
CLPX	677.0	1596.0
CLRN1OS	0.0	0.0
CLRN1	0.0	0.0
CLRN2	0.0	0.0
CLRN3	0.0	3.0
CLSPN	78.0	271.0
CLSTN1	18825.0	7921.0
CLSTN2	292.0	126.0
CLSTN3	4003.0	710.0
CLTA	5006.0	7830.0
CLTB	9365.0	4653.0
CLTCL1	816.0	397.0
CLTC	12946.0	31075.0
CLUAP1	852.0	708.0
CLUL1	4.0	7.0
CLU	3461.0	2481.0
CLVS1	11.17	4.17
CLVS2	0.0	0.0
CLYBL	97.0	16.0
CMA1	10.0	0.0
CMAH	191.0	430.0
CMAS	2227.0	2265.0
CMBL	1266.0	9706.0
CMC1	254.0	1160.0
CMIP	4150.0	1953.0
CMKLR1	448.0	340.0
CMPK1	3655.0	11676.0
CMPK2	554.0	1580.0
CMTM1	90.0	394.0
CMTM2	4.0	126.0
CMTM3	4929.0	2635.0
CMTM4	957.0	469.0
CMTM5	1.0	6.0
CMTM6	2364.0	13244.0
CMTM7	502.0	1339.0
CMTM8	72.0	261.0
CMYA5	457.0	121.0
CN5H6.4	13.0	59.0
CNBD1	0.0	0.0
CNBP	10088.0	43355.0
CNDP1	5.0	1.0
CNDP2	4244.0	2889.0
CNFN	652.0	437.0
CNGA1	16.0	16.0
CNGA2	0.0	0.0
CNGA3	0.0	2.0
CNGA4	4.0	0.0
CNGB1	211.0	420.0
CNGB3	4.0	21.0
CNIH2	92.0	42.0
CNIH3	154.0	130.0
CNIH4	1792.0	11673.0
CNIH	1920.0	23240.0
CNKSR1	1356.0	631.0
CNKSR2	1.0	0.0
CNKSR3	390.0	306.0
CNN1	1899.0	2579.0
CNN2	12535.0	15200.0
CNN3	4972.0	50492.0
CNNM1	119.0	47.0
CNNM2	383.0	76.0
CNNM3	743.0	422.0
CNNM4	533.0	527.0
CNOT10	619.0	1113.0
CNOT1	4705.98	7095.02
CNOT2	2004.0	2447.0
CNOT3	3494.0	1234.0
CNOT4	565.0	608.0
CNOT6L	820.0	1874.0
CNOT6	1224.0	1306.0
CNOT7	1074.0	6914.0
CNOT8	1534.0	5426.0
CNO	679.0	757.0
CNPY1	8.0	0.0
CNPY2	3436.0	5448.0
CNPY3	4489.0	3701.0
CNPY4	1105.0	521.0
CNP	5894.75	4162.01
CNR1	11.0	4.0
CNR2	1.0	2.0
CNRIP1	345.0	666.0
CNST	526.0	941.0
CNTD1	61.3	41.53
CNTD2	85.0	140.0
CNTFR	13.0	12.0
CNTF	3.0	21.0
CNTLN	375.0	441.0
CNTN1	21.0	1535.0
CNTN2	3.0	1.0
CNTN3	7.0	4.0
CNTN4	43.0	24.0
CNTN5	4.0	10.0
CNTN6	1.0	4.0
CNTNAP1	368.0	229.0
CNTNAP2	109.0	36.0
CNTNAP3	170.0	143.0
CNTNAP4	12.0	1.0
CNTNAP5	3.0	0.0
CNTROB	1834.0	610.0
COASY	4652.0	3621.0
COBLL1	574.0	1114.0
COBL	225.0	27.0
COBRA1	4266.0	3085.0
COCH	16.8	174.52
COG1	1009.22	620.47
COG2	694.0	2031.0
COG3	741.0	1514.0
COG4	3106.0	3634.0
COG5	750.91	2806.15
COG6	508.0	2713.0
COG7	741.0	589.0
COG8	910.58	1042.27
COIL	575.0	2753.0
COL10A1	5083.0	5105.0
COL11A1	4641.0	4875.0
COL11A2	194.0	40.0
COL12A1	23900.0	23550.0
COL13A1	135.0	143.0
COL14A1	658.0	367.0
COL15A1	1981.0	2435.0
COL16A1	11579.0	1623.0
COL17A1	51381.0	19905.0
COL18A1	22835.0	5252.0
COL19A1	4.0	2.0
COL1A1	589494.0	203453.0
COL1A2	270089.0	167229.0
COL20A1	0.0	0.0
COL21A1	9.0	665.0
COL22A1	1247.0	1149.0
COL23A1	236.0	355.0
COL24A1	162.0	252.0
COL25A1	3.0	6.0
COL27A1	564.0	347.0
COL28A1	337.0	225.0
COL29A1	10.0	1.0
COL2A1	73.0	602.0
COL3A1	242951.4	295606.0
COL4A1	10062.0	15145.0
COL4A2	20243.0	7095.0
COL4A3BP	812.0	1144.0
COL4A3	82.0	29.0
COL4A4	132.0	37.0
COL4A5	2295.0	3233.0
COL4A6	1542.0	2217.0
COL5A1	50027.0	17948.0
COL5A2	26706.0	27215.0
COL5A3	6475.0	4485.0
COL6A1	80964.0	38300.0
COL6A2	114904.0	38911.0
COL6A3	45836.0	61607.0
COL6A4P2	17.0	1.0
COL6A6	29.0	30.0
COL7A1	23078.0	5197.0
COL8A1	702.0	518.0
COL8A2	2712.0	1331.0
COL9A1	5.0	1.0
COL9A2	667.0	720.0
COL9A3	479.0	204.0
COLEC10	254.0	3.0
COLEC11	37.0	88.0
COLEC12	630.0	874.0
COLQ	91.0	12.0
COMMD10	495.0	3139.0
COMMD1	707.0	4358.0
COMMD2	927.0	12082.0
COMMD3	1412.61	4814.05
COMMD4	2986.0	4993.0
COMMD5	2105.46	3341.1
COMMD6	2398.0	4922.0
COMMD7	3327.0	7045.0
COMMD8	764.0	5149.0
COMMD9	1496.0	2852.0
COMP	1848.0	40.0
COMTD1	1272.0	837.0
COMT	16667.0	13451.0
COPA	6462.0	13549.0
COPB1	4647.46	16083.32
COPB2	5186.0	9108.0
COPE	4851.0	18382.32
COPG2	765.0	283.0
COPG	7957.0	6346.0
COPS2	2032.0	12959.0
COPS3	2410.0	17227.0
COPS4	1250.0	7186.0
COPS5	3050.0	8808.0
COPS6	4072.0	6377.0
COPS7A	3870.0	7305.0
COPS7B	1841.0	2739.0
COPS8	1983.97	6620.93
COPZ1	7151.0	14504.0
COPZ2	2005.0	3179.0
COQ10A	229.0	507.0
COQ10B	941.0	4928.0
COQ2	408.0	1655.0
COQ3	318.0	2062.0
COQ4	1853.0	2853.0
COQ5	956.0	5076.0
COQ6	563.44	1473.81
COQ7	495.0	1375.0
COQ9	1968.0	4773.0
CORIN	186.0	93.0
CORO1A	3301.0	1560.0
CORO1B	4386.0	3206.0
CORO1C	5768.0	25394.0
CORO2A	1223.0	1362.0
CORO2B	174.0	39.0
CORO6	872.0	471.0
CORO7	1583.15	555.52
CORT	32.18	10.74
COTL1	8997.0	13092.0
COX10	610.0	1581.0
COX11	791.08	4045.2
COX15	1387.89	1985.01
COX16	1821.0	5388.0
COX17	1519.0	2009.0
COX18	534.0	4294.0
COX19	898.1	860.37
COX4I1	14407.0	37792.0
COX4I2	75.0	67.0
COX4NB	1388.0	3872.0
COX5A	3827.0	11756.0
COX5B	4965.0	9063.0
COX6A1	4323.0	14735.0
COX6A2	439.0	23.0
COX6B1	10362.0	18316.0
COX6B2	535.0	433.0
COX6C	6732.0	8762.0
COX7A1	592.0	709.0
COX7A2L	2816.0	8112.0
COX7A2	4546.0	20502.0
COX7B2	0.0	0.0
COX7B	3800.0	26169.0
COX7C	6078.0	9823.0
COX8A	6853.0	10147.0
COX8C	0.0	0.0
CP110	224.0	800.0
CPA1	2.0	11.0
CPA2	2.0	38.0
CPA3	319.0	294.0
CPA4	8743.0	2006.0
CPA5	22.85	7.15
CPA6	12.0	420.0
CPAMD8	138.0	50.0
CPB1	0.0	1.0
CPB2	5.0	20.0
CPD	2517.0	6941.0
CPEB1	6.0	31.0
CPEB2	433.0	532.0
CPEB3	107.0	68.0
CPEB4	413.0	771.0
CPE	875.0	10452.0
CPLX1	140.0	46.0
CPLX2	0.0	0.0
CPLX3	3.0	104.0
CPLX4	0.0	0.0
CPM	583.0	573.0
CPN1	0.0	2.0
CPN2	11.0	5.0
CPNE1	8253.53	13637.87
CPNE2	1840.0	4005.0
CPNE3	2833.0	14613.0
CPNE4	11.0	2.0
CPNE5	340.0	323.0
CPNE6	0.0	12.0
CPNE7	231.0	654.0
CPNE8	509.0	3263.0
CPNE9	7.0	5.0
CPOX	772.0	3705.0
CPO	5.0	1.0
CPPED1	774.0	2892.0
CPS1	45.0	941.0
CPSF1	4295.0	1563.0
CPSF2	2152.0	7328.0
CPSF3L	3402.0	3424.0
CPSF3	1675.0	5406.0
CPSF4L	0.0	0.0
CPSF4	1224.0	1072.0
CPSF6	2117.0	2898.0
CPSF7	2588.0	2392.0
CPT1A	1813.0	1463.0
CPT1B	652.77	515.9
CPT1C	1084.0	522.0
CPT2	1001.0	1274.0
CPVL	393.0	222.0
CPXCR1	5.0	0.0
CPXM1	2777.0	819.0
CPXM2	653.0	114.0
CPZ	764.91	393.0
CP	75.15	170.44
CR1L	9.0	2.0
CR1	21.0	34.0
CR2	20.0	8.0
CRABP1	32.0	2.0
CRABP2	10817.0	52512.0
CRADD	297.0	1170.0
CRAMP1L	589.0	510.02
CRAT	804.0	400.0
CRB1	8.0	2.0
CRB2	22.0	10.0
CRB3	147.0	1285.0
CRBN	438.74	2085.94
CRCP	1525.0	2558.0
CRCT1	3301.0	18.0
CREB1	890.0	4721.0
CREB3L1	2727.0	1978.0
CREB3L2	1761.0	1896.0
CREB3L3	1.0	21.0
CREB3L4	594.0	292.0
CREB3	1793.56	3725.84
CREB5	423.0	859.0
CREBBP	1762.0	1320.0
CREBL2	1598.0	1656.0
CREBZF	1222.0	878.0
CREG1	3217.0	4944.0
CREG2	67.0	166.0
CRELD1	1141.0	664.0
CRELD2	2081.0	3059.0
CREM	768.0	3690.0
CRHBP	0.0	2.0
CRHR1	2.07	0.0
CRHR2	0.0	0.0
CRH	1.0	0.0
CRIM1	2211.0	1861.0
CRIP1	5769.0	7237.0
CRIP2	7484.0	5040.0
CRIP3	8.0	14.0
CRIPAK	353.0	37.0
CRIPT	884.0	3066.0
CRISP1	0.0	1.0
CRISP2	2.0	0.0
CRISP3	28.0	1.0
CRISPLD1	471.0	1167.0
CRISPLD2	3633.0	4189.0
CRKL	33764.0	10626.0
CRK	616.0	3939.0
CRLF1	68.0	1108.0
CRLF2	2.0	6.0
CRLF3	430.0	3069.0
CRLS1	1504.0	3192.0
CRMP1	613.82	156.0
CRNKL1	1245.0	1436.0
CRNN	119.0	1.0
CROCCL1	909.94	337.1
CROCCL2	86.0	34.0
CROCC	1655.0	276.0
CROT	1017.0	1037.0
CRP	2.0	80.0
CRTAC1	45.0	49.0
CRTAM	26.0	30.0
CRTAP	6651.0	14702.0
CRTC1	554.0	858.0
CRTC2	2570.0	1408.0
CRTC3	1348.0	861.0
CRX	0.0	0.0
CRY1	397.0	1950.0
CRY2	909.0	364.0
CRYAA	1.0	0.0
CRYAB	12530.0	1604.0
CRYBA1	0.0	3.0
CRYBA2	53.0	23.0
CRYBA4	1.0	2.0
CRYBB1	9.0	47.0
CRYBB2	10.0	43.0
CRYBB3	3.0	22.0
CRYBG3	199.51	677.3
CRYGA	0.0	0.0
CRYGB	0.0	0.0
CRYGC	0.0	6.0
CRYGD	0.0	0.0
CRYGN	7.0	8.0
CRYGS	40.14	38.0
CRYL1	453.0	2506.0
CRYM	10.0	35.0
CRYZL1	379.3	1941.95
CRYZ	855.15	4970.29
CSAD	623.0	403.0
CSAG1	151.0	105.0
CSAG2	75.0	115.01
CSAG3	218.0	215.99
CSDAP1	659.0	819.0
CSDA	15017.0	17600.0
CSDC2	240.0	22.0
CSDE1	7418.0	28389.0
CSE1L	3927.0	12070.0
CSF1R	1748.0	639.0
CSF1	635.0	260.0
CSF2RA	282.0	287.0
CSF2RB	377.0	396.0
CSF2	32.0	1307.0
CSF3R	205.0	568.0
CSF3	14.0	3260.0
CSGALNACT1	375.0	650.0
CSGALNACT2	936.0	1737.0
CSH1	0.0	0.0
CSH2	0.0	0.0
CSHL1	0.0	0.0
CSK	3603.0	2474.0
CSMD1	17.0	5.0
CSMD2	111.0	124.0
CSMD3	2.0	1.0
CSN1S1	0.0	0.0
CSN1S2A	0.0	0.0
CSN2	0.0	0.0
CSN3	0.0	0.0
CSNK1A1L	10.0	33.0
CSNK1A1P	1.0	0.0
CSNK1A1	9700.0	13729.0
CSNK1D	6243.0	5332.0
CSNK1E	4030.8	5732.0
CSNK1G1	753.0	1929.0
CSNK1G2	2581.0	2258.0
CSNK1G3	937.0	1964.0
CSNK2A1P	502.0	819.0
CSNK2A1	1729.0	1622.0
CSNK2A2	1112.0	1421.0
CSNK2B	7161.43	13728.7
CSPG4PY2	0.0	0.0
CSPG4	12224.0	4998.0
CSPG5	15.0	31.0
CSPP1	353.0	450.52
CSRNP1	737.0	1125.0
CSRNP2	968.0	1597.0
CSRNP3	5.0	2.0
CSRP1	12860.0	23641.0
CSRP2BP	792.0	698.0
CSRP2	760.0	3047.0
CSRP3	1546.0	341.0
CST11	0.0	4.0
CST1	924.0	1706.0
CST2	47.0	2.0
CST3	17110.0	9145.0
CST4	60.0	27.0
CST5	23.0	0.0
CST6	1141.0	306.0
CST7	307.0	193.0
CST8	0.0	0.0
CST9L	0.0	0.0
CST9	1.0	0.0
CSTA	1964.0	17297.0
CSTB	16452.0	52540.0
CSTF1	985.0	2272.0
CSTF2T	1270.0	937.0
CSTF2	645.0	1530.0
CSTF3	968.0	4619.67
CSTL1	1.0	0.0
CSTT	1.0	0.0
CS	5500.0	8854.0
CT45A1	2530.0	0.0
CT45A2	929.0	1.0
CT45A3	570.0	0.0
CT45A4	55.0	0.0
CT45A5	410.0	0.0
CT45A6	0.0	0.0
CT47A10	0.0	0.0
CT47A11	0.0	0.0
CT47A1	0.0	0.0
CT47A2	0.0	0.0
CT47A6	0.0	0.0
CT47A7	0.0	0.0
CT47A9	0.0	0.0
CT47B1	0.0	0.0
CT62	22.0	35.0
CTAG1B	222.0	14.0
CTAG2	593.0	39.0
CTAGE1	16.0	135.0
CTAGE4	90.0	46.0
CTAGE5	816.66	3707.58
CTAGE6	4.0	3.0
CTAGE9	212.0	158.0
CTBP1	5526.85	2123.7
CTBP2	1869.0	1980.0
CTBS	629.0	2551.92
CTCFL	80.5	73.71
CTCF	1381.0	1811.0
CTDP1	1108.0	403.0
CTDSP1	5754.0	3057.0
CTDSP2	6308.0	5681.0
CTDSPL2	501.0	7915.0
CTDSPL	1294.0	943.0
CTF1	459.0	202.0
CTGF	6771.0	22734.0
CTHRC1	9444.0	17688.0
CTH	58.0	314.0
CTLA4	193.0	102.0
CTNNA1	13565.0	8052.0
CTNNA2	0.0	0.0
CTNNA3	3.0	3.0
CTNNAL1	735.0	19086.0
CTNNB1	7326.99	33582.93
CTNNBIP1	2032.0	5388.0
CTNNBL1	2276.0	2148.0
CTNND1	9041.0	5652.0
CTNND2	10.0	1.0
CTNS	602.32	644.58
CTPS2	448.0	926.0
CTPS	1726.0	4970.0
CTR9	1314.0	1607.0
CTRB1	0.0	92.0
CTRB2	1.0	197.0
CTRC	2.0	3.0
CTRL	23.0	16.0
CTSA	9590.14	5939.91
CTSB	57834.0	52586.0
CTSC	7430.0	38341.0
CTSD	59128.0	18072.0
CTSE	3.0	381.0
CTSF	5301.0	648.0
CTSG	58.0	4.0
CTSH	10622.0	23989.0
