Core_Human,PrC_Human,Myc_Human,Borac_TF,Borac_ES2,Merged
,EBF2,GMFB,LIN28,,GMFB
,ECGF1,GMPS,ABHD9,,GMPS
,EFHD1,GNAS,NANOG,,GNAS
,EFNA5,GNB2L1,,,GNB2L1
,EFNB2,GNPAT,,,GNPAT
,EGR2,GTF2IRD2B,,,GTF2IRD2B
,EGR3,GTF3C4,,,GTF3C4
,EN1,HDLBP,,,HDLBP
,EN2,HELLS,,,HELLS
,EOMES,HMGA1,,,HMGA1
,EPAS1,HMMR,,,HMMR
,EPHA5,HNRPA1,,,HNRPA1
,EPHA7,HNRPA2B1,,,HNRPA2B1
,EVX1,HNRPH1,,,HNRPH1
,FBN1,HNRPM,,,HNRPM
,FBN2,HNRPR,,,HNRPR
,FEV,HSD17B12,,,HSD17B12
,FGF3,HSPA14,,,HSPA14
,FGF5,HSPD1,,,HSPD1
,FGF8,HSPE1,,,HSPE1
,FGF9,HTF9C,,,HTF9C
,FGFR3,IARS,,,IARS
,FLI1,IFRD1,,,IFRD1
,FLRT2,IHPK1,,,IHPK1
,FLT1,IKBKAP,,,IKBKAP
,FLT3,ILF3,,,ILF3
,FLT4,IMP4,,,IMP4
,FOXA1,INCENP,,,INCENP
,FOXA2,IPMK,,,IPMK
,FOXC1,IPO7,,,IPO7
,FOXC2,ISG20L1,,,ISG20L1
,FOXD1,JMJD6,,,JMJD6
,FOXD4,JUNB,,,JUNB
,FOXE1,KBTBD3,,,KBTBD3
,FOXF2,KCNK5,,,KCNK5
,FOXL2,KCTD9,,,KCTD9
,FOXP2,KDELC1,,,KDELC1
,FOXQ1,KIF20A,,,KIF20A
,FRZB,KIFC1,,,KIFC1
,FZD1,KIN,,,KIN
,FZD2,KLF16,,,KLF16
,FZD8,LAPTM4A,,,LAPTM4A
,GAB1,LDHA,,,LDHA
,GABRA1,LMAN2,,,LMAN2
,GAD2,LMLN,,,LMLN
,GADD45G,LNPEP,,,LNPEP
,GATA3,LRDD,,,LRDD
,GATA4,LRRC40,,,LRRC40
,GATA5,LRSAM1,,,LRSAM1
,GATA6,LSM2,,,LSM2
,GBF1,LUC7L,,,LUC7L
,GBX2,M6PRBP1,,,M6PRBP1
,GDF6,MAF1,,,MAF1
,GDF7,MAN1B1,,,MAN1B1
,GDNF,MAP3K12,,,MAP3K12
,GFRA1,MAPBPIP,,,MAPBPIP
,GFRA2,MARS,,,MARS
,GHSR,MAT2B,,,MAT2B
,GNAL,MCM4,,,MCM4
,GPR120,MCM5,,,MCM5
,GPR124,MCM6,,,MCM6
,GPR150,MIS12,,,MIS12
,GPR50,MMAA,,,MMAA
,GRID1,MMP14,,,MMP14
,GRIK2,MRP63,,,MRP63
,GRIN2A,MRPL12,,,MRPL12
,GRM6,MRPL17,,,MRPL17
,GRM8,MRPL18,,,MRPL18
,GSC,MRPL36,,,MRPL36
,GSH1,MRPL49,,,MRPL49
,HAND1,MRPL50,,,MRPL50
,HAPLN4,MRPS12,,,MRPS12
,HES5,MRPS28,,,MRPS28
,HES7,MRPS30,,,MRPS30
,HEY2,MSH4,,,MSH4
,HLX1,MTHFD1,,,MTHFD1
,HLXB9,MTHFD1L,,,MTHFD1L
,HMGA2,MUS81,,,MUS81
,HMX1,MUTYH,,,MUTYH
,HMX2,MYO1G,,,MYO1G
,HOXA1,NACA,,,NACA
,HOXA10,NCL,,,NCL
,HOXA11,NDOR1,,,NDOR1
,HOXA13,NDUFA13,,,NDUFA13
,HOXA2,NDUFS1,,,NDUFS1
,HOXA3,NDUFS6,,,NDUFS6
,HOXA4,NEK8,,,NEK8
,HOXA5,NFE2L1,,,NFE2L1
,HOXA6,NFKBIL1,,,NFKBIL1
,HOXB1,NFYC,,,NFYC
,HOXB13,NMD3,,,NMD3
,HOXB2,NME1,,,NME1
,HOXB3,NOL1,,,NOL1
,HOXB4,NOL5A,,,NOL5A
,HOXB5,NOLA1,,,NOLA1
,HOXB6,NOLC1,,,NOLC1
,HOXB7,NPM1,,,NPM1
,HOXB8,NT5C3,,,NT5C3
,HOXC10,NUP50,,,NUP50
,HOXC12,NUTF2,,,NUTF2
,HOXC6,NVL,,,NVL
,HOXC6,OSGEP,,,OSGEP
,HOXC8,PAICS,,,PAICS
,HOXC9,PASK,,,PASK
,HOXD10,PCBP1,,,PCBP1
,HOXD11,PFN1,,,PFN1
,HOXD12,PIGW,,,PIGW
,HOXD13,PLA2G6,,,PLA2G6
,HOXD8,PLEKHJ1,,,PLEKHJ1
,HOXD9,PLK4,,,PLK4
,HPCAL4,PLOD3,,,PLOD3
,HS3ST1,PMF1,,,PMF1
,HS3ST3B1,PNN,,,PNN
,HSF4,PNPLA2,,,PNPLA2
,HSPA1A,POLH,,,POLH
,HSPA1B,POLR3B,,,POLR3B
,HSPA1L,POP7,,,POP7
,HTR1A,PPAN,,,PPAN
,HTR1B,PPCS,,,PPCS
,HTR6,PPID,,,PPID
,ID3,PPP1R15B,,,PPP1R15B
,IGF2,PPP1R7,,,PPP1R7
,IGFBP5,PPP2R4,,,PPP2R4
,IL15RA,PRDX1,,,PRDX1
,INSM1,PRKAB1,,,PRKAB1
,IRF2,PRKDC,,,PRKDC
,IRF5,PRPF19,,,PRPF19
,IRS4,PRPF38B,,,PRPF38B
,IRX1,PSAT1,,,PSAT1
,IRX2,PSME3,,,PSME3
,IRX3,PTBP1,,,PTBP1
,IRX5,QTRTD1,,,QTRTD1
,ISL2,RAB25,,,RAB25
,JUN,RAB34,,,RAB34
,KCNA1,RAD1,,,RAD1
,KCNA6,RAD50,,,RAD50
,KCNC4,RAF1,,,RAF1
,KCNK12,RANBP1,,,RANBP1
,KIRREL3,RANBP2,,,RANBP2
,LEF1,RBKS,,,RBKS
,LHX2,RCC1,,,RCC1
,LHX5,RDH10,,,RDH10
,LHX6,RG9MTD2,,,RG9MTD2
,LHX9,RGS14,,,RGS14
,LMBRD1,RLBP1,,,RLBP1
,LMO1,RNF4,,,RNF4
,LMX1A,RNF41,,,RNF41
,LMX1B,RNMT,,,RNMT
,LOXL3,RPL14,,,RPL14
,LRAT,RPL18,,,RPL18
,LRBA,RPL23,,,RPL23
,LRFN5,RPL23A,,,RPL23A
,LRP8,RPL28,,,RPL28
,LRRN1,RPL3,,,RPL3
,LRRTM1,RPL32,,,RPL32
,LSM2,RPL35A,,,RPL35A
,MAB21L1,RPL37,,,RPL37
,MAB21L2,RPL7,,,RPL7
,MAFB,RPLP1,,,RPLP1
,MDGA2,RPLP2,,,RPLP2
,MEIS1,RPS11,,,RPS11
,MFSD2,RPS12,,,RPS12
,MSX1,RPS13,,,RPS13
,MSX2,RPS14,,,RPS14
,MTO1,RPS19,,,RPS19
,MYC,RPS24,,,RPS24
,NEFL,RPS25,,,RPS25
,NEFM,RPS27A,,,RPS27A
,NETO1,RPS27L,,,RPS27L
,NEUROD2,RPS3,,,RPS3
,NEUROG1,RRM2,,,RRM2
,NEUROG2,RRS1,,,RRS1
,NEUROG3,RTCD1,,,RTCD1
,NFATC1,S100A13,,,S100A13
,NFIX,SAMD10,,,SAMD10
,NHLH2,SARS2,,,SARS2
