Run,LR_Accuracy,LR_Balanced Accuracy,LR_F1 score,LR_Precision,LR_Recall,SVM_Accuracy,SVM_Balanced Accuracy,SVM_F1 score,SVM_Precision,SVM_Recall,DT_Accuracy,DT_Balanced Accuracy,DT_F1 score,DT_Precision,DT_Recall,RF_Accuracy,RF_Balanced Accuracy,RF_F1 score,RF_Precision,RF_Recall,MLP_Accuracy,MLP_Balanced Accuracy,MLP_F1 score,MLP_Precision,MLP_Recall,XGB_Accuracy,XGB_Balanced Accuracy,XGB_F1 score,XGB_Precision,XGB_Recall
Run 1,0.969650986342944,0.971807784070054,0.969593342513325,0.970165852955932,0.969650986342944,0.975720789074355,0.977978278538094,0.97567875126357,0.976103955652607,0.975720789074355,0.893778452200304,0.890603154076695,0.894139341301278,0.895109689556574,0.893778452200304,0.925644916540212,0.922608604746333,0.925555037728482,0.925974782185456,0.925644916540212,0.965098634294386,0.964647869809641,0.964996725202152,0.965142458837354,0.965098634294386,0.933,0.929,0.933,0.933,0.933
Run 2,0.974203338391502,0.973060593331183,0.974184459044918,0.974210277284849,0.974203338391502,0.978755690440061,0.977981087799224,0.978755616938722,0.97878429961542,0.978755690440061,0.867981790591806,0.864028093783038,0.867462305961986,0.867673846399587,0.867981790591806,0.928679817905918,0.923387043242409,0.928669799241233,0.928741096308974,0.928679817905918,0.975720789074355,0.973277193149738,0.975722656673862,0.975970163214306,0.975720789074355,0.935,0.923,0.934,0.936,0.935
Run 3,0.97268588770865,0.971235561365921,0.972668061466934,0.972726539712376,0.97268588770865,0.977238239757208,0.975412881061551,0.977210812669496,0.977341647392534,0.977238239757208,0.872534142640364,0.863933106354891,0.872303594006386,0.872613826457316,0.872534142640364,0.916540212443096,0.91052384571674,0.916442564144158,0.916551364066585,0.916540212443096,0.965098634294386,0.960755687100485,0.965043069944904,0.965450813432869,0.965098634294386,0.929,0.923,0.928,0.929,0.929
Run 4,0.977238239757208,0.978357573616075,0.9774883573704,0.978461562704357,0.977238239757208,0.980273141122913,0.982160675565969,0.980423074179352,0.981203494187075,0.980273141122913,0.892261001517451,0.893544669364335,0.893232958357363,0.896603684515992,0.892261001517451,0.925644916540212,0.922461153494387,0.925756212660993,0.926477316904235,0.925644916540212,0.981790591805766,0.979424671730526,0.98183041854003,0.981980856263366,0.981790591805766,0.929,0.923,0.928,0.929,0.929
Run 5,0.974164133738602,0.971092616351117,0.974096628866297,0.974419950403499,0.974164133738602,0.987841945288754,0.987030875630314,0.987822698441366,0.987886167431068,0.987841945288754,0.893617021276596,0.887581088561226,0.893532223881911,0.894260883505755,0.893617021276596,0.927051671732523,0.919949829514705,0.926816246879632,0.92783642150723,0.927051671732523,0.96048632218845,0.951255564963822,0.960103164203783,0.961682273245482,0.96048632218845,0.926,0.924,0.926,0.927,0.926
