,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
15,gsea,Cilium Organization (GO:0044782),0.5510932880717525,1.912086582987294,0.0,0.40893109719938553,0.669,92/180,24.64%,TXNDC15;FAM161B;TCTN1;RAB8B;KIF3A;WDR19;ARL3;BBS2;CC2D2A;WDR35;TTLL3;BBS1;IFT88;STK36;IFT46;UNC119B;KIFAP3;TCTN2;FAM149B1;IFT140;NEK1;PKD2;IFT81;TTC30A;CEP290;BBS4;TMEM231;DISC1;CCDC66;BBS9;IFT27;NPHP3;KIF3B;SPAG16;GALNT11;IFT52;ABLIM3;IFT172;DZIP1;CCDC96;BBS5;TTC21B;RABL2B;SNX10;CLUAP1;RILPL2;FUZ;NEDD9;OCRL;RPGR;RP2;TTBK2;HDAC6;DYNC2H1;RAB3IP;TTC8;CDC14B;IQUB;CCDC113;ARMC2;TMEM107;IFT80;TRAF3IP1;TMEM67;INTU;OFD1;B9D2;UBXN10;NUDCD3;CCDC57;RILPL1;FNBP1L;IFT57;MKS1;IFT122;TTC26;KIAA0753;PARVA;KIF27;FBXW8;FAM161A;B9D1;TTC17;CCDC65;CDC14A;RFX3;BBS7;IFT20;ARL6;ARF4;RFX2;IFT74
16,gsea,Peptide Cross-Linking (GO:0018149),-0.7463055755627763,-1.9054384128021664,0.007952286282306162,0.2940614343303066,0.751,15/25,6.88%,DSP;IVL;SPRR1B;TGM1;EVPL;CSTA;SPRR1A;ANXA1;SPRR2E;PI3;TGM5;TGM3;KRT10;KRT1;F13B
17,gsea,Response To Nerve Growth Factor (GO:1990089),0.7586710404422503,1.90103579014876,0.0,0.42512197609322244,0.712,7/13,13.20%,MAPT;MAGI2;RAPGEF2;NTRK3;KIDINS220;RAP1A;STMN2
18,gsea,Cyclic Nucleotide Biosynthetic Process (GO:0009190),0.647782432251265,1.8967166044353891,0.003795066413662239,0.40847197302725,0.72,8/17,21.87%,ADCY2;ADCY4;ADCY5;ADCY6;ADCY8;NPR2;ADCY9;NPPA
19,gsea,Establishment Of Skin Barrier (GO:0061436),-0.7352510650600564,-1.8944597816621331,0.0,0.2974610397922435,0.78,10/18,4.80%,SFN;KRT16;TP63;TMEM79;ALOXE3;CLDN1;ALOX12B;ALOX12;LSR;IL18
20,gsea,Cellular Response To Arsenic-Containing Substance (GO:0071243),-0.7717588176783603,-1.8774597915112077,0.0,0.32631951832448686,0.817,7/13,8.04%,PPIF;ZC3H12A;MAPK13;HSF1;GSTO1;MKNK2;VCP
21,gsea,Plasma Membrane Bounded Cell Projection Assembly (GO:0120031),0.5146656860447908,1.867846059118477,0.0,0.5373069420067118,0.806,109/227,24.64%,ARHGEF6;TXNDC15;S1PR1;TCTN1;RAB8B;KIF3A;WDR19;ARL3;BBS2;RAPGEF2;CC2D2A;WDR35;TTLL3;BBS1;IFT88;ARHGEF7;FMNL3;OPHN1;STK36;IFT46;UNC119B;P2RY12;TCTN2;FAM149B1;IFT140;NEK1;AIF1;IFT81;TTC30A;PMP22;CEP290;BBS4;CCDC88A;TMEM231;DISC1;CCDC66;BBS9;IFT27;NPHP3;DNM3;KIF3B;SPAG16;GALNT11;IFT52;ABLIM3;RAP2A;IFT172;DZIP1;FGD5;CCDC96;BBS5;TTC21B;RABL2B;SNX10;CLUAP1;TNIK;RILPL2;FUZ;OCRL;RPGR;SPATA13;RP2;TTBK2;HDAC6;RAP1A;RAPGEF6;DYNC2H1;RAB3IP;TTC8;CDC14B;IQUB;CCDC113;TMEM107;IFT80;TRAF3IP1;TMEM67;INTU;OFD1;SPEF1;B9D2;UBXN10;NUDCD3;CCDC57;RILPL1;ANO6;FNBP1L;IFT57;MKS1;IFT122;SRGAP3;TTC26;KIAA0753;FGD3;PARVA;KIF27;FBXW8;FAM161A;B9D1;MYLK;CCDC65;CDC14A;RFX3;BBS7;IFT20;ARL6;ARF4;RFX2;ARFIP2;IFT74
22,gsea,Cilium Assembly (GO:0060271),0.5453398068837906,1.8610779052479356,0.0,0.5358758145674365,0.824,99/188,25.05%,TXNDC15;TCTN1;RAB8B;KIF3A;SPATA6;WDR19;ARL3;BBS2;CC2D2A;BBS10;WDR35;TTLL3;BBS1;IFT88;STK36;IFT46;UNC119B;DYNC2LI1;TCTN2;FAM149B1;IFT140;NEK1;IFT81;TTC30A;CEP290;BBS4;TMEM231;DISC1;CCDC40;CCDC66;BBS9;IFT27;NPHP3;KIF3B;SPAG16;GALNT11;IFT52;RPGRIP1L;ABLIM3;IFT172;DZIP1;CCDC96;BBS5;TTC21B;RABL2B;SNX10;CLUAP1;RILPL2;FUZ;OCRL;RPGR;RP2;GORAB;TTBK2;CCDC39;HDAC6;RPGRIP1;DYNC2H1;RAB3IP;TTC8;CDC14B;IQUB;CCDC113;TMEM107;IFT80;TRAF3IP1;TMEM67;INTU;OFD1;B9D2;UBXN10;NUDCD3;CCDC57;TMEM80;RSPH1;RILPL1;FNBP1L;IFT57;MKS1;IFT122;TTC26;KIAA0753;ZMYND10;CSNK1D;PARVA;KIF27;FBXW8;FAM161A;B9D1;CCDC65;CDC14A;RFX3;BBS7;IFT20;ARL6;ARF4;RFX2;IFT74;RSPH9
23,gsea,Regulation Of Vascular Endothelial Cell Proliferation (GO:1905562),0.6394017871416883,1.853449032494906,0.001890359168241966,0.5505959825142679,0.85,11/18,22.09%,FLT1;APLN;FGF2;MEF2C;AKT3;PLCG1;FGFR1;PDPK1;ITGA4;CCL2;SLC39A9
24,gsea,Tyrosine Metabolic Process (GO:0006570),-0.7293617817457355,-1.851045428321117,0.006109979633401222,0.4011744247463914,0.882,7/11,15.98%,FANCA;PAH;HPD;TAT;OCA2;THAP4;TH
25,gsea,Positive Regulation Of Synapse Assembly (GO:0051965),0.6499465326995669,1.8506420421634104,0.00980392156862745,0.5308231634405102,0.859,16/29,15.96%,NLGN1;NLGN3;LRRC4B;SLITRK5;SLITRK2;NRXN1;NLGN2;CLSTN3;GRID2;SLITRK1;SLITRK3;EPHB1;SEMA4D;PTPRD;SLITRK4;CLSTN2
26,gsea,Dicarboxylic Acid Biosynthetic Process (GO:0043650),-0.7887402342715998,-1.8379049308430389,0.013861386138613862,0.42877634841859963,0.903,6/9,9.21%,MTHFD1L;MTHFD1;GLS2;HAAO;GOT1;KYNU
27,gsea,Alpha-Amino Acid Biosynthetic Process (GO:1901607),-0.8088809485199764,-1.8331052611277856,0.002061855670103093,0.4159986387149068,0.912,7/10,11.81%,MTHFD1;CAD;OTC;PAH;ILVBL;SDS;CPS1
28,gsea,Antimicrobial Humoral Response (GO:0019730),-0.4999286162623555,-1.8330015907802784,0.004629629629629629,0.38683224193969307,0.913,35/83,22.75%,KRT6A;S100A9;PGLYRP3;SPRR2A;PGLYRP4;RNASE7;PI3;S100A7;RPS19;NRG1;S100A12;F2;CXCL11;DEFB4A;CXCL10;LEAP2;CXCL1;GAPDH;WFDC5;RPL30;F3;RPL39;WFDC12;SLPI;TSLP;FAU;GNLY;HLA-A;DEFB1;CXCL14;COLEC11;RARRES2;CXCL6;ROMO1;DEFB126
29,gsea,Cellular Response To Nerve Growth Factor Stimulus (GO:1990090),0.6501929115315919,1.8294374207323103,0.009433962264150943,0.6423619795999792,0.92,10/21,13.20%,MAPT;MAGI2;RAPGEF2;NTRK3;SH3GL2;KIDINS220;NTRK2;RAP1A;TMEM108;STMN2
30,gsea,Regulation Of Cellular Extravasation (GO:0002691),0.7591606714134765,1.826552455914278,0.0,0.625022098777087,0.925,6/9,18.95%,JAM3;PLVAP;FUT9;THY1;BST1;LYVE1
31,gsea,Positive Regulation Of Chemotaxis (GO:0050921),0.5300582893610218,1.8258730589452632,0.0018796992481203006,0.5958689053451999,0.927,18/42,17.60%,NTRK3;P2RY12;KDR;FGF2;AIF1;P2RX4;DSCAM;VEGFA;TREM2;PRKD1;PDGFB;SEMA5A;MEGF8;PDGFRB;CNTN1;CCR2;PTN;SMOC2
32,gsea,"Endonucleolytic Cleavage In ITS1 To Separate SSU-rRNA From 5.8S rRNA And LSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)",-0.8836126207402355,-1.8251542162127516,0.0,0.3916345492151304,0.92,6/7,10.75%,LTB4R2;RPP40;RRS1;NOP14;KRI1;RPS21
33,gsea,Killing By Host Of Symbiont Cells (GO:0051873),-0.7616512793039312,-1.8245478668097739,0.006607929515418502,0.37015312577274534,0.921,6/11,11.60%,NRG1;F2;CFHR2;CFHR1;GAPDH;CFHR5
34,gsea,"Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",-0.7297693173315112,-1.8204088896961996,0.003937007874015748,0.3639807350542248,0.924,19/26,16.38%,LTB4R2;RPP40;RRS1;TBL3;WDR43;RPS19;NOP14;NOL10;BMS1;DHX37;RPS16;KRI1;DCAF13;PWP2;RPS21;WDR46;TSR1;RPS8;HEATR1
35,gsea,Second-Messenger-Mediated Signaling (GO:0019932),0.4840428979027808,1.8202120835542417,0.0,0.6034170915219258,0.938,40/64,40.24%,SAMD14;KLRG1;P2RY12;CXCR4;P2RX4;DDAH1;PPP1R9A;LAT2;FCGR3A;CNKSR2;FPR1;PLCG1;BTK;EIF2AK3;NMUR1;LRRK2;GPR62;RILPL1;PDPK1;INPP5A;CCR5;EDN1;EDNRB;RCAN2;NUDT4;PLCE1;RYR2;DDAH2;RCAN1;PPP1R9B;CD36;CAMKK2;AGTR2;CCL3;CCR6;NEUROD1;NCALD;PPP2CA;NOS3;AGTR1
36,gsea,Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912),0.6665075033069702,1.8181962736692991,0.001893939393939394,0.5893554187443306,0.942,9/14,22.60%,AIF1;MEF2C;PRKG1;NDRG4;BMPR1A;TPM1;LRP1;IGFBP3;IGFBP5
37,gsea,Ribosomal Large Subunit Biogenesis (GO:0042273),-0.6877378401159475,-1.8178630957608068,0.007984031936127744,0.35260033255869777,0.927,21/48,10.69%,NOP16;TRAF7;PPAN;NIP7;EIF6;WDR74;NOC2L;NOP2;RRS1;MRTO4;EBNA1BP2;RPF2;PES1;GTPBP4;BRIX1;NLE1;WDR12;RPL35A;RPLP0;SURF6;SPATA5L1
