,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
490,gsea,Cellular Response To Oxygen-Containing Compound (GO:1901701),0.3428437598363191,1.599786529892174,0.004484304932735426,0.25180307329473023,1.0,164/373,37.45%,SYT11;NLGN1;GDF1;ADD1;P2RY12;TLR4;MAPT;PDE2A;SIRPA;RRAGD;CPNE5;RAPGEF2;CX3CR1;PEX12;DLG4;MEF2C;RASA4;GNG2;CPNE2;MAPK1;KCNK4;AKAP6;PDE4B;DLG2;ADCY8;PRKD1;SYT6;CLIC4;HCN2;MT3;PID1;RRAGB;AQP1;ATM;RRAGA;RAPGEF1;CPEB4;PPM1E;LILRB1;CPEB1;RORA;PKD2;TRIM41;PDXP;CLU;PEX5;MEF2A;CD86;CAMK2D;CACNA1A;P2RX7;NLRP3;ITPKB;CPNE6;KAT5;VIM;DAPK1;CDKN1B;RORB;CPEB3;CPNE9;PRKAA2;SYT9;INPP5K;TNFRSF1B;GNB1;SYT3;PDK2;SMPD1;SYT5;SYT4;FZD4;KCNH1;CCR5;HCN1;HTRA2;CCDC62;SYT1;MAPK9;AXL;TICAM2;RAP1A;SSTR2;CCL2;RASGRP2;ALOX5AP;TLR2;PDK4;RYR3;RAMP3;CD68;SYT17;PDGFRA;TNIP1;SYT15;PDGFB;NCF1;AGAP3;CD180;LILRB2;PEX10;PAX2;LCP1;RRAGC;MTR;WNT9B;PTK2B;NEUROD2;CDKN2AIP;CPNE8;SETX;MCOLN1;FOXO1;ADCY7;PDCD1LG2;ATP2B4;GBP2;NR1H4;HCN3;GLRA1;ADCY1;HCN4;FER;CREB1;MPV17;GIT1;EHHADH;EGFR;CARD16;DRD1;DAB2IP;PLCG2;SESN2;TRAF6;POU4F2;WNT10B;NFKBIL1;LDOC1;SYT2;CAPN3;ABL2;LGMN;DRD5;LY96;KCNE1;NEK7;CD14;SLIT2;RHOA;DEFB124;CXCL9;CHMP5;GLRA2;NR4A3;TRPV1;NR1H3;SHMT1;EPHA3;WNT3;MAPK8;RAPGEF3;SSTR1;KCNC2;CRHBP
491,gsea,Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068),0.43464643535119823,1.5994397704197962,0.023255813953488372,0.2518790319620932,1.0,35/67,35.89%,NTRK3;FGF2;NTRK2;TREM2;SEMA4D;CBL;HCLS1;FLT1;TEK;KDR;DDR1;PDGFD;EXTL3;FGR;HCST;PDGFRA;INSR;PDGFB;NCF1;TGFB2;SIRT1;PIK3AP1;F2R;PLXNB1;SELP;JAK2;PDGFA;PDGFC;CCL5;PTK2;DDR2;EGF;UNC5B;FSHR;PTPN6
492,gsea,Positive Regulation Of Phosphatase Activity (GO:0010922),0.5554917743866686,1.598143019863871,0.01702127659574468,0.25395751522160126,1.0,9/21,17.83%,MAGI2;MEF2C;CALM1;MTMR9;GNA12;CALM3;CD300A;PLEK;BMP2
493,gsea,Positive Regulation Of GTPase Activity (GO:0043547),0.39271253890971114,1.5976468366316448,0.016736401673640166,0.2543648606052938,1.0,114/219,34.33%,APC2;MAPRE2;RGL1;DOCK10;NTRK3;RAPGEF2;RAPGEF4;RGS9;ARHGEF7;RASGEF1C;EVI5L;TBC1D5;SRGAP3;RGS7;RAPGEF1;SGSM1;ARHGEF10;CX3CL1;MAP4K4;FERMT2;TBC1D12;SGSM2;SEMA4D;DOCK8;ARHGAP22;TSC1;RGS11;RALGDS;GPR65;ARHGAP24;GARNL3;PREX2;AGAP2;TBC1D13;RASGRF1;ARHGAP25;PREX1;RGS6;RAPGEF5;RASGRP1;RASGRF2;CORO1C;FLCN;SOS2;RAB11FIP2;SNX18;ARHGAP42;WDR41;GNB5;THY1;CCL3;CCL4;PICALM;ARHGEF15;PIN1;TBC1D17;DOCK7;RASGRP3;TBC1D14;TBC1D9B;EVI5;RAP1A;TIAM1;SNX13;CCL2;RASGRP2;TBC1D15;BCR;SYDE1;RGS1;RAP1GDS1;CCL3L1;TBCK;DOCK11;ALS2;AGAP3;RASGRP4;RALGAPA1;TBC1D20;ASAP3;NF1;RSU1;CD40;RAB3GAP1;TIAM2;CDKL5;TBC1D26;ARHGAP29;F2R;PLXNB1;TBC1D10C;TBC1D1;NGEF;RAPGEF6;BCAS3;ARAP1;SIPA1;TBC1D10A;CCL14;RALGPS1;RASGEF1A;XCL2;CCL5;TBC1D25;AGAP4;RGS8;PKP4;RGL4;RAP1GAP;AGAP11;RASGEF1B;CCR7;TBC1D2B;SIPA1L2
494,gsea,"Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",-0.6427851963148095,-1.5972588119843898,0.04338842975206612,0.7579667974115367,1.0,19/26,25.03%,RPP40;RPS21;RRS1;NOP14;NOL10;HEATR1;WDR43;LTB4R2;RPS19;DCAF13;RPS16;BMS1;TBL3;UTP6;DHX37;WDR46;RPS8;UTP20;RPS14
495,gsea,Regulation Of Macrophage Migration (GO:1905521),0.7061734902029683,1.5962737401541363,0.03665987780040733,0.25642145967699553,1.0,6/8,24.22%,P2RY12;CX3CR1;CD81;CSF1;PTK2B;CD200R1
496,gsea,Positive Regulation Of Leukocyte Proliferation (GO:0070665),0.560229102444249,1.595372642870001,0.04612159329140461,0.2577023011511509,1.0,11/16,35.41%,CSF1R;MAPK1;NMB;CSF2RA;CSF1;IL12A;JAK2;CSF2RB;IL34;PTK2;NMBR
497,gsea,Positive Regulation Of Focal Adhesion Assembly (GO:0051894),0.586404834255859,1.5953590394504025,0.038461538461538464,0.2571234943369256,1.0,9/18,21.33%,MAP4K4;FERMT2;TSC1;TEK;KDR;PPM1F;THY1;VEGFA;PTPRJ
498,gsea,Glycerophospholipid Catabolic Process (GO:0046475),0.4775426830610943,1.5948061657685768,0.025423728813559324,0.25755469390368907,1.0,9/24,17.85%,PLA2G4C;PNPLA8;ENPP2;ENPP6;GDPD1;PNPLA6;PLA2G6;PLA2G15;PLA2G5
499,gsea,Protein Localization To Cell Periphery (GO:1990778),0.40992783197303756,1.5940454376323447,0.022774327122153208,0.2585989493072064,1.0,67/134,34.82%,ANK2;DPP6;CLASP2;RDX;RAB8B;RAP2A;RAPGEF2;EFR3B;SPTBN4;ZDHHC22;KCNIP4;SCN3B;DPP10;EPB41L3;KCNB1;ARL3;KCNIP3;TTC7B;EHD3;TNIK;CD81;RAB3A;PACS2;STXBP1;TMEM88;PACSIN1;WDR19;CACNB2;SPTBN1;PTCH1;TSPAN33;RAB3C;INPP5K;RAB12;TSPAN5;RAMP2;FGF13;ZFYVE27;WNK3;PDZK1P1;RAP1A;PDZK1;MYO5A;ANK3;RAMP3;RAMP1;LIN7B;FCHO2;EHD1;LIN7A;ZDHHC2;PRAM1;RAPGEF6;RAB40A;RAB40B;ATP1B1;ITGB1BP1;RABEP1;RAB40AL;LRPAP1;FLOT2;KCNB2;PSMD10;FLOT1;EHD2;LRP6;ANK1
