,stem,LAML,Actual
AML556-D0,0.0061257934994483,0.993874206500552,0.012
AML707B-D0,0.322644539413213,0.677355460586787,0.43
AML916-D0,0.134401238248666,0.865598761751334,0.09
AML921A-D0,0.0753979858644815,0.924602014135519,0.0843
