,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
3947,gsea,Mitotic Spindle Organization (GO:0007052),-0.30711943241715195,-0.8857359828593627,0.6031434184675835,1.0,1.0,39/75,35.56%,AURKA;KIF4A;CHEK2;NUF2;TPX2;RCC1;TBCE;SPC25;TUBG1;BIRC5;PRC1;KIFC1;CENPH;CDCA8;KIF3B;CCNB1;KIF23;SMC1A;FAM110A;WDR62;AURKB;RAN;KIF11;TTK;NDC80;PLK1;STIL;KPNB1;CENPE;DLGAP5;OFD1;BCCIP;CKAP5;VCP;KIFC2;GPSM2;SPAST;INCENP;KIF4B
3948,gsea,Pyruvate Metabolic Process (GO:0006090),-0.2557866326651601,-0.8854333244935297,0.5753138075313807,1.0,1.0,47/47,98.16%,HKDC1;PGK1;ME1;VDAC1;TPI1;PDHX;PCK2;GPI;PKLR;HK2;LDHC;PDHA1;PGK2;GAPDH;PFKFB1;PDHB;SDS;LDHA;DLD;PGM1;GCK;PDHA2;ALDOB;HK1;ME2;ENO1;PCK1;PFKL;PGAM4;LDHAL6A;DLAT;HK3;ENO3;UCP2;ENO2;ME3;PFKFB2;PGAM2;GAPDHS;LDHAL6B;PGAM1;NR4A3;KRT17;SRR;LDHB;ALDOC;PFKM
3949,gsea,Release Of Cytochrome C From Mitochondria (GO:0001836),0.29740566566453985,0.8850598568317671,0.6204819277108434,0.767930023593771,1.0,9/19,44.44%,CLU;SFN;MFF;FIS1;MCL1;IFI6;DNM1L;SOD2;FZD9
3950,gsea,Sensory Perception Of Sound (GO:0007605),0.21578372835747586,0.8849038100408059,0.652317880794702,0.7679140824529217,1.0,42/85,50.18%,POU3F4;COL4A3;PCDH15;LHFPL4;SLC26A4;LHFPL3;SPTBN4;OTOS;TMC1;CCDC50;TMIE;GRM7;GRAP;PAX3;SNAI2;LOXHD1;ATP2B2;SPNS2;ESPNL;CDC14A;DCDC2;PDZD7;USP53;KCNE1;ROR1;KIT;LRP2;ATP6V0A4;WDR1;CHRNB2;ATP6V1B1;EML2;ALDH7A1;EYA1;NIPBL;CDH23;USH1G;MYO3B;HOMER2;COL11A2;TFAP2A;GRXCR1
3951,gsea,Regulation Of MDA-5 Signaling Pathway (GO:0039533),0.44151752993623206,0.8847193534336651,0.5915492957746479,0.7679637464953645,1.0,3/5,45.77%,DDX60;USP17L2;RIOK3
3952,gsea,Synaptic Vesicle Membrane Organization (GO:0048499),0.34994797823619417,0.8846233573308256,0.594,0.7678681132811935,1.0,7/14,27.93%,SNAP25;PRRT2;SYP;SYNGR1;STX2;STX11;STX1A
3953,gsea,Negative Regulation Of Amyloid-Beta Clearance (GO:1900222),0.38407587735965704,0.8845235447174093,0.597872340425532,0.7677739055322914,1.0,4/7,37.19%,IFNGR1;SRF;TNF;LRPAP1
3954,gsea,Negative Regulation Of Phosphoprotein Phosphatase Activity (GO:0032515),-0.30965276663831154,-0.8845060473862101,0.6112224448897795,1.0,1.0,8/19,27.58%,PPP1R14D;TIPRL;STYXL1;IKBKB;LGALS3;PPP1R1B;MASTL;ROCK2
3955,gsea,Intracellular Iron Ion Homeostasis (GO:0006879),-0.2562043976461502,-0.8844859254590594,0.5906183368869936,1.0,1.0,47/47,97.72%,FLVCR1;FTL;SLC46A1;TFRC;ATP6AP1;BOLA2;SOD1;FTH1;CP;TMEM199;SLC40A1;HFE;TMPRSS6;TFR2;FRRS1;HMOX1;GLRX3;SLC39A14;FTMT;BMP6;ABCB7;SLC11A2;SCARA5;MYC;ATP13A2;ATP6V1G1;CYBRD1;ALAS2;HAMP;SLC11A1;NUBP1;ATP6V0A2;IREB2;GDF2;CCDC115;FXN;SMAD4;B2M;ATP6V0D1;F3;HEPHL1;ATP6V1A;FBXL5;PICALM;NDFIP1;SLC22A17;ISCU
3956,gsea,Regulation Of Cytoplasmic Transport (GO:1903649),0.39544046804635685,0.8841670577078514,0.6089613034623218,0.7681080015433157,1.0,5/8,38.05%,MAPK1;LRRK2;MAP2K1;DNAJC13;MAP2K2
3957,gsea,Regulation Of Granulocyte Chemotaxis (GO:0071622),0.2965939744527332,0.8840519457872545,0.6007827788649707,0.7680524487692265,1.0,13/19,51.88%,MAPK1;CSF1R;JAM3;CSF1;S100A7;CAMK1D;MSTN;CMKLR1;CCL5;S100A14;IL34;BST1;MPP1
3958,gsea,Neuronal Action Potential (GO:0019228),0.41077846466406975,0.8840467652758062,0.6083032490974729,0.7678218282544158,1.0,4/7,32.34%,KCNA2;KCNA1;KCNMB4;KCNMB2
3959,gsea,Anterior/Posterior Pattern Specification (GO:0009952),0.25035908424754905,0.8835740697516369,0.6,0.768306092213619,1.0,32/58,49.56%,BHLHE41;WLS;HEY2;SKI;HHEX;BMPR2;CELSR2;HES5;TGFBR1;HES4;HES7;HES6;PCSK5;BMP2;BASP1;HOXD3;HEY1;CYP26C1;HOXD4;WT1;WNT8A;DDIT3;HES2;SMAD2;HOXA4;LHX1;HOXD9;HOXA5;HEYL;HES1;CER1;CDX4
3960,gsea,Regulation Of Cortisol Biosynthetic Process (GO:2000064),0.4036169716627113,0.8832616514408504,0.5995934959349594,0.7685332458956619,1.0,2/6,20.60%,DKK3;REST
3961,gsea,Apical Protein Localization (GO:0045176),-0.3566393266193889,-0.8830645895449407,0.6133603238866396,1.0,1.0,9/9,92.07%,ATP8B1;CELSR1;SHROOM3;SHROOM2;INSC;VANGL2;JAM3;GOPC;MAL
3962,gsea,Regulation Of Apoptotic DNA Fragmentation (GO:1902510),0.423843476861261,0.8828034829895801,0.6118811881188119,0.7690206211059304,1.0,2/5,43.51%,DFFA;CIDEA
3963,gsea,Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010743),0.27951510483173747,0.8826500776756575,0.6171428571428571,0.7690284646471515,1.0,12/30,38.06%,ITGAV;PRKCH;NR1H2;IL18;CETP;ITGB3;CSF1;NFKB1;CSF2;LCP1;PPARA;PLA2G5
3964,gsea,Nucleotide-Excision Repair (GO:0006289),0.28533047668735784,0.8825209702730064,0.6149312377210217,0.7689831732693705,1.0,24/53,38.65%,FSCN1;KAT5;XAB2;LIG4;STON1;MMS19;XPC;XPA;RNF111;RPA2;ERCC6;POLL;ERCC8;GTF2H4;ERCC1;SLC30A9;USP45;ERCC5;RPA1;DDB1;ERCC4;ERCC2;OGG1;ERCC3
3965,gsea,Regulation Of Glomerular Filtration (GO:0003093),0.427172328913438,0.882362204842243,0.6069958847736625,0.7690041884690842,1.0,3/5,41.59%,GAS6;F2R;PDGFB
3966,gsea,Negative Regulation Of Amino Acid Transport (GO:0051956),0.44049189693402957,0.8821695069106793,0.6094032549728752,0.7690551426981785,1.0,3/5,32.23%,HRH3;GRM7;SLC43A2
3967,gsea,CD40 Signaling Pathway (GO:0023035),0.4101866185698465,0.8820378755464641,0.6086956521739131,0.769024856713596,1.0,5/7,54.59%,RNF31;CD86;TNIP2;PHB2;ITGA5
3968,gsea,Dopamine Catabolic Process (GO:0042420),-0.3944367996854728,-0.8820212884380277,0.6203319502074689,1.0,1.0,6/6,60.57%,SULT1A3;MAOB;MAOA;LRTOMT;MOXD1;DBH
3969,gsea,Catecholamine Catabolic Process (GO:0042424),-0.3944367996854728,-0.8820212884380277,0.6203319502074689,1.0,1.0,6/6,60.57%,SULT1A3;MAOB;MAOA;LRTOMT;MOXD1;DBH
3970,gsea,Sterol Metabolic Process (GO:0016125),-0.26079415259819555,-0.8818850161425521,0.565410199556541,1.0,1.0,56/56,99.03%,SQLE;NSDHL;CYP51A1;APOA2;SOAT2;CES1;TSKU;HMGCR;APOB;PMVK;ARV1;ABCG1;GLB1;APOA1;NR0B2;CYP27A1;CYP7A1;SULT2A1;ANGPTL3;CEL;ABCA5;CYP26A1;APOA4;CLN6;SOAT1;LDLRAP1;STARD3;CYP21A2;CYP8B1;APOE;SH2D2A;CYP11B2;IL4;CYP19A1;CYP11B1;APOF;CYP11A1;CYP1B1;OSBPL5;APOL2;CH25H;FDX1;GBA2;SULT2B1;CYP26C1;PRKAG2;CYP39A1;CYP7B1;OSBPL1A;CYP4V2;CETP;LCAT;CYP26B1;CLN8;CYP46A1;PPARD
