,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
19,gsea,Secondary Alcohol Metabolic Process (GO:1902652),0.6114279742287402,1.9179339544709968,0.0039447731755424065,0.13308064896923114,0.646,24/45,16.11%,APOB;ANGPTL3;LCAT;APOE;APOA1;UGT1A6;APOA2;SULT2A1;IDH2;NSDHL;APOF;CYP27A1;CES1;IDH3A;UGT1A4;SQLE;APOL2;NR0B2;SULT2B1;SH2D2A;ABCG1;IDH3B;CLN8;SOAT2
20,gsea,Negative Regulation Of Blood Coagulation (GO:0030195),0.7744901990609699,1.9165162919259737,0.0,0.12835265476933916,0.652,15/30,2.99%,SERPINF2;KNG1;F2;F11;F12;APOH;CPB2;PROC;PLG;VTN;KLKB1;FGB;APOE;FGA;FGG
21,gsea,Dicarboxylic Acid Metabolic Process (GO:0043648),0.6144964013179616,1.913624350091694,0.0020833333333333333,0.1257303213050868,0.663,27/47,18.96%,GOT1;SHMT2;SDHA;HAAO;PCK1;ALDH5A1;GLUD2;GPT2;IDH2;SHMT1;FH;MDH1;PHYH;GOT2;OGDHL;NIT2;TAT;DHFR;MDH2;ADHFE1;OGDH;GCLC;MTHFD2;ASS1;GCLM;ME1;MTHFS
22,gsea,Neurotransmitter Transport (GO:0006836),0.5948812842237203,1.9114598338389999,0.011695906432748537,0.1231475844235753,0.666,28/52,18.96%,SLC1A3;SLC1A2;NRXN2;NRXN1;SYN3;SYN1;SLC22A2;UNC13A;SLC32A1;SLC22A1;PPFIA3;SNAP25;SLC17A7;HRH3;SYN2;BRSK1;SLC22A3;SLC6A3;LIN7A;GABRA2;SLC38A2;SLC6A2;SYT1;SLC1A6;SLC29A4;LIN7B;SLC17A8;STXBP1
23,gsea,Porphyrin-Containing Compound Catabolic Process (GO:0006787),0.823243819003753,1.9072939427396718,0.0020408163265306124,0.12368824167445758,0.677,8/12,12.83%,AMBP;SLCO1B1;HMOX2;SLCO2B1;HMOX1;ABCC2;UGT1A4;SLCO1B3
24,gsea,Positive Regulation Of ATP Metabolic Process (GO:1903580),0.8056006762105428,1.906871490497168,0.0,0.11896286906031683,0.678,7/8,17.80%,ENO1;PID1;PINK1;PPARGC1A;PPARA;TREM2;VCP
25,gsea,Fructose Transmembrane Transport (GO:0015755),0.8781983091262058,1.906027010965755,0.0,0.11551390523554395,0.681,5/7,7.32%,SLC2A9;SLC2A2;SLC2A5;SLC2A6;SLC2A8
26,gsea,Cholesterol Metabolic Process (GO:0008203),0.5884866300565947,1.9059261509132106,0.00784313725490196,0.11110517968328765,0.681,32/63,16.98%,APOB;ANGPTL3;LCAT;CYP46A1;HMGCS1;APOE;APOA1;APOA2;SULT2A1;AKR1D1;MVD;MVK;INSIG1;NSDHL;LSS;APOF;DHCR7;CYP27A1;CES1;CYP7A1;ACAA2;SQLE;APOL2;NR0B2;SULT2B1;HMGCR;SH2D2A;ABCG1;PMVK;CLN8;SOAT2;CYP51A1
27,gsea,Thyroid Hormone Transport (GO:0070327),0.8517865094442845,1.8987913000936982,0.0038910505836575876,0.11681238642730342,0.707,4/7,2.51%,SLC3A2;SLCO1C1;SERPINA7;SLC7A5
28,gsea,Positive Regulation Of Synapse Assembly (GO:0051965),0.658848911382945,1.8948648213325003,0.00984251968503937,0.11879515557705378,0.72,11/29,5.76%,PTPRD;NRXN1;NLGN3;LRRC4B;GRID2;SLITRK1;NLGN1;EPHB1;SLITRK3;SLITRK2;NLGN2
29,gsea,Heme Catabolic Process (GO:0042167),0.8566751336368967,1.8913976451077645,0.005988023952095809,0.11981671545921752,0.733,8/10,12.83%,AMBP;SLCO1B1;HMOX2;SLCO2B1;HMOX1;ABCC2;UGT1A4;SLCO1B3
30,gsea,Alpha-Amino Acid Catabolic Process (GO:1901606),0.6678347515319618,1.883636133945111,0.012072434607645875,0.1277375385234866,0.769,19/28,17.45%,ALDH4A1;ACMSD;ACAT1;SARDH;CBS;OTC;GOT2;HPD;HSD17B10;DDO;TAT;ALDH6A1;KMO;IDO1;MCCC1;BLMH;HIBCH;HMGCLL1;PRODH
